Year,Month,DayOfWeek,Hour,Rocket_ID,Rocket,Payload,Operator,FlightNumberInfo,Orbit,Function,crewed,Success
1990.0,2.0,6.0,12.0,148,Long March 3,DFH-2 A-4,,,GEO,Communications,0,1
1990.0,2.0,1.0,16.0,130,Kosmos-3M,Kosmos 2059 (Taifun-2),,,LEO,Radar calibration,0,1
1990.0,2.0,2.0,1.0,120,H-I,"MOS 1B, DEBUT, JAS-1B",NASDA,,LEO,"Earth observation, Technology demonstration, Communications",0,1
1990.0,2.0,6.0,6.0,274,Soyuz-U2,"Soyuz TM-9, Crewed orbital flight with 2 cosmonauts",Crewed orbital flight with 2 cosmonauts,,"LEO (Mir), Crewed orbital flight with 2 cosmonauts","Mir EO-9, Crewed orbital flight with 2 cosmonauts",1,1
1990.0,2.0,2.0,16.0,63,Delta II 6920-8,"LACE (USA-51), RME (USA-52)",DoD,,LEO,Technology demonstration,0,1
1990.0,2.0,3.0,7.0,215,Proton-K/DM-2,Raduga 25,,,GEO,Communications,0,1
1990.0,2.0,3.0,23.0,10,Ariane 4 (44L),"Superbird B, BS 2X, Blocked water line caused rocket explosion","SCC, Blocked water line caused rocket explosion",,"Intended: GEO transfer, Blocked water line caused rocket explosion","Communications, Blocked water line caused rocket explosion",0,0
1990.0,2.0,1.0,20.0,130,Kosmos-3M,Nadezhda 2,,,LEO,Navigation,0,1
1990.0,2.0,2.0,0.0,310,Tsyklon-3,Okean 2,,,LEO,Earth science,0,1
1990.0,2.0,2.0,7.0,275,Space Shuttle Atlantis,"STS-36, USA-53 (Misty-1), Crewed orbital flight with 5 astronauts","NASA, NRO, Crewed orbital flight with 5 astronauts",,"LEO, Crewed orbital flight with 5 astronauts","Satellite deployment, Reconnaissance, Crewed orbital flight with 5 astronauts",1,1
1990.0,2.0,2.0,23.0,274,Soyuz-U2,Progress M-3,,,LEO (Mir),Logistics,0,1
1990.0,3.0,2.0,11.0,54,Commercial Titan III,"Intelsat 603, Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.","Intelsat, Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.",,"GEO, Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a LEO orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.","Communications, Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.",0,0
1990.0,3.0,2.0,15.0,309,Tsyklon-2,Kosmos 2060 (US-P),,,LEO,Naval Reconnaissance,0,1
1990.0,3.0,1.0,0.0,130,Kosmos-3M,Kosmos 2061 (Parus),,,LEO,Navigation,0,1
1990.0,3.0,3.0,7.0,270,Soyuz-U,Kosmos 2062 (Zenit-8),,,LEO,Reconnaissance,0,1
1990.0,3.0,0.0,2.0,64,Delta II 6925,"GPS II-7 (USA-54), Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.","US Air Force, Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.",,"MEO, Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.","Navigation, Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.",0,0
1990.0,3.0,1.0,16.0,180,Molniya-M/2BL,Kosmos 2063 (Oko),,,Molniya,Early warning,0,1
1990.0,4.0,1.0,12.0,246,Shavit,Ofeq-2,,,LEO (retrograde),Reconnaissance,0,1
,,,,270,Soyuz-U,Yantar-4K2,,,Intended: LEO,Reconnaissance,0,0
1990.0,4.0,3.0,19.0,193,Pegasus,"Pegsat, USA-55 (SECS)","NASA, DoD",,LEO,"Space Physics, Communications",0,1
1990.0,4.0,4.0,3.0,130,Kosmos-3M,"Kosmos 2064 (Strela-1M), Kosmos 2065 (Strela-1M), Kosmos 2066 (Strela-1M), Kosmos 2067 (Strela-1M), Kosmos 2068 (Strela-1M), Kosmos 2069 (Strela-1M), Kosmos 2070 (Strela-1M), Kosmos 2071 (Strela-1M)",,,LEO,Communications,0,1
1990.0,4.0,5.0,13.0,148,Long March 3,"AsiaSat 1, Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.","AsiaSat, Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.",,"GEO, Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.","Communications, Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.",0,1
1990.0,4.0,2.0,15.0,51,Atlas-E/Altair-3A,"USA-56 (POGS), USA-57 (TEX), USA-58 (SCE)",DoD,,LEO,Technology demonstration,0,1
1990.0,4.0,2.0,17.0,270,Soyuz-U,/Foton 6,CNES,,LEO,Microgravity research,0,1
1990.0,4.0,4.0,18.0,270,Soyuz-U,Kosmos 2072 (Yantar-4KS1),,,LEO,Reconnaissance,0,1
1990.0,4.0,4.0,22.0,65,Delta II 6925-8,"Palapa B2R, Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.","Telkom Indonesia, Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.",,"GEO, Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.","Communications, Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.",0,1
1990.0,4.0,1.0,8.0,270,Soyuz-U,Kosmos 2073 (Zenit-8),,,LEO,Reconnaissance,0,1
1990.0,4.0,4.0,18.0,130,Kosmos-3M,Kosmos 2074 (Parus),,,LEO,Navigation,0,1
1990.0,4.0,1.0,12.0,277,Space Shuttle Discovery,"STS-31, /Hubble Space Telescope, Crewed orbital flight with 5 astronauts","NASA, NASA/ESA, Crewed orbital flight with 5 astronauts",,"LEO, Crewed orbital flight with 5 astronauts","HST deployment, Space Telescope, Crewed orbital flight with 5 astronauts",1,1
1990.0,4.0,2.0,13.0,130,Kosmos-3M,Kosmos 2075 (Taifun-2),,,LEO,Target,0,1
1990.0,4.0,3.0,1.0,182,Molniya-M/ML,Molniya 1-77,,,Molniya,Communications,0,1
1990.0,4.0,5.0,11.0,180,Molniya-M/2BL,Kosmos 2076 (Oko),,,Molniya,Early warning,0,1
1990.0,5.0,5.0,20.0,274,Soyuz-U2,"Progress 42, ",Final flight of baseline Progress spacecraft,Final flight,"LEO (Mir), Final flight of baseline Progress spacecraft","Logistics, Final flight of baseline Progress spacecraft",0,1
1990.0,5.0,0.0,18.0,270,Soyuz-U,Kosmos 2077 (Yantar-4K2),,,LEO,Reconnaissance,0,1
1990.0,5.0,2.0,17.0,244,Scout G-1,"MacSat 1, MacSat 2",DARPA,,LEO,Communications,0,1
1990.0,5.0,1.0,9.0,270,Soyuz-U,Kosmos 2078 (Yantar-1KFT),,,LEO,Reconnaissance,0,1
1990.0,5.0,5.0,8.0,215,Proton-K/DM-2,"Kosmos 2079 (GLONASS), Kosmos 2080 (GLONASS), Kosmos 2081 (GLONASS)",,,MEO,Navigation,0,1
1990.0,5.0,1.0,5.0,317,Zenit-2,"Kosmos 2082 (Tselina-2), First launch from Site 45/2",First launch from Site 45/2,,"LEO, First launch from Site 45/2","ELINT, First launch from Site 45/2",0,1
1990.0,5.0,1.0,7.0,270,Soyuz-U,Resurs-F6,,,LEO,Reconnaissance,0,1
1990.0,5.0,3.0,10.0,199,Proton-K,Kristall,,,LEO (Mir),Mir module,0,1
1990.0,6.0,4.0,21.0,62,Delta II 6920-10,ROSAT,,,LEO,Astronomy,0,1
1990.0,6.0,4.0,5.0,301,Titan IVA (405),"USA-59 (SLDCOM), USA-60 (NOSS-2), USA-61 (NOSS-2), USA-62 (NOSS-2)","US Air Force, US Navy",,LEO,"Communications, Naval Reconnaissance",0,1
1990.0,6.0,1.0,5.0,57,Delta 4925,"INSAT 1D, ","ISRO, Final flight of Delta 4925",Final flight,"GEO, Final flight of Delta 4925","Communications, Final flight of Delta 4925",0,1
1990.0,6.0,2.0,1.0,182,Molniya-M/ML,Molniya 3-47L,,,Molniya,Communications,0,1
1990.0,6.0,1.0,8.0,270,Soyuz-U,Kosmos 2083 (Zenit-8),,,LEO,Reconnaissance,0,1
1990.0,6.0,2.0,23.0,214,Proton-K/DM,Gorizont 20,,,GEO,Communications,0,1
1990.0,6.0,3.0,20.0,180,Molniya-M/2BL,"Kosmos 2084 (Oko), Placed in an incorrect orbit and the satellite did not communicate with the ground.",Placed in an incorrect orbit and the satellite did not communicate with the ground.,,"Intended: Molniya Achieved: LEO, Placed in an incorrect orbit and the satellite did not communicate with the ground.","Early warning, Placed in an incorrect orbit and the satellite did not communicate with the ground.",0,0
1990.0,6.0,5.0,11.0,54,Commercial Titan III,Intelsat 604,Intelsat,,GEO,Communications,0,1
1990.0,6.0,2.0,22.0,310,Tsyklon-3,Meteor-2-19,,,LEO,Earth Sciences,0,1
,,,,270,Soyuz-U,Yantar-4K2,,,Intended: LEO,Reconnaissance,0,0
1990.0,7.0,2.0,10.0,274,Soyuz-U2,/Gamma,CNES,,LEO,Astronomy,0,1
1990.0,7.0,0.0,0.0,144,Long March 2E,"Badr-1, HS-601",SUPARCO,,LEO,"Communications, Boilerplate spacecraft",0,1
1990.0,7.0,1.0,9.0,270,Soyuz-U,Resurs-F7,,,LEO,Reconnaissance,0,1
1990.0,7.0,2.0,21.0,215,Proton-K/DM-2,Kosmos 2085 (Geizer 17L),,,GEO,Communications,0,1
1990.0,7.0,4.0,8.0,270,Soyuz-U,Kosmos 2086 (Zenit-8),,,LEO,Reconnaissance,0,1
1990.0,7.0,1.0,22.0,10,Ariane 4 (44L),"TDF-2, DFS-2",Telediffusion,,GEO,Communications,0,1
1990.0,7.0,2.0,18.0,180,Molniya-M/2BL,Kosmos 2087 (Oko),,,Molniya,Early warning,0,1
1990.0,7.0,2.0,19.0,32,Atlas I,CRRES,US Air Force,,GEO transfer,Space Physics,0,1
1990.0,7.0,0.0,0.0,310,Tsyklon-3,Kosmos 2088 (Geo-IK),,,LEO,Earth Science,0,1
1990.0,8.0,2.0,9.0,274,Soyuz-U2,"Soyuz TM-10, Crewed orbital flight with 2 cosmonauts",Crewed orbital flight with 2 cosmonauts,,"LEO (Mir), Crewed orbital flight with 2 cosmonauts","Mir EO-7, Crewed orbital flight with 2 cosmonauts",1,1
1990.0,8.0,3.0,5.0,64,Delta II 6925,GPS II-8 (USA-63),US Air Force,,MEO,Navigation,0,1
1990.0,8.0,4.0,19.0,270,Soyuz-U,Kosmos 2089 (Yantar-4K2),,,LEO,Reconnaissance,0,1
1990.0,8.0,2.0,4.0,310,Tsyklon-3,"Kosmos 2090 (Strela-3), Kosmos 2091 (Strela-3), Kosmos 2092 (Strela-3), Kosmos 2093 (Strela-3), Kosmos 2094 (Strela-3), Kosmos 2095 (Strela-3)",,,LEO,Communications,0,1
1990.0,8.0,3.0,20.0,215,Proton-K/DM-2,Ekran-M,,,Intended: GEO,Communications,0,0
1990.0,8.0,4.0,20.0,182,Molniya-M/ML,Molniya 1-78,,,Molniya,Communications,0,1
1990.0,8.0,2.0,4.0,274,Soyuz-U2,Progress M-4,,,LEO (Mir),Logistics,0,1
1990.0,8.0,3.0,9.0,270,Soyuz-U,Resurs-F8,,,LEO,Reconnaissance,0,1
1990.0,8.0,5.0,0.0,64,Delta II 6925,Marco Polo 2,,,GEO,Communications,0,1
1990.0,8.0,3.0,16.0,309,Tsyklon-2,Kosmos 2096 (US-P),,,LEO,Naval Reconnaissance,0,1
1990.0,8.0,1.0,7.0,180,Molniya-M/2BL,Kosmos 2097 (Oko),,,Molniya,Early warning,0,1
1990.0,8.0,1.0,9.0,119,H-1,BS 3A,,,GEO,Communications,0,1
1990.0,8.0,1.0,15.0,130,Kosmos-3M,Kosmos 2098 (Taifun-1),,,LEO,Earth Science,0,1
1990.0,8.0,3.0,22.0,11,Ariane 4 (44LP),"Skynet 4C, Eutelsat 2F1","MoD, Eutelsat",,GEO,Communications,0,1
1990.0,8.0,4.0,8.0,270,Soyuz-U,Kosmos 2099 (Zenit-8),,,LEO,Reconnaissance,0,1
1990.0,9.0,0.0,0.0,158,Long March 4A,"Feng Yun 1B, Qi Qiu Weixing 1, Qi Qiu Weixing 2, ",Final flight of Long March 4A,Final flight,"Sun-synchronous, Final flight of Long March 4A","Weather satellite, Atmospheric research, Final flight of Long March 4A",0,1
1990.0,9.0,4.0,11.0,270,Soyuz-U,Resurs-F9,,,LEO,Reconnaissance,0,1
1990.0,9.0,4.0,5.0,130,Kosmos-3M,Kosmos 2100 (Parus),,,LEO,Navigation,0,1
1990.0,9.0,3.0,20.0,182,Molniya-M/ML,Molniya 3-54L,,,Molniya,Communications,0,1
1990.0,9.0,3.0,10.0,274,Soyuz-U2,Progress M-5,,,LEO (Mir),Logistics,0,1
1990.0,9.0,4.0,7.0,310,Tsyklon-3,Meteor-2-20,,,LEO,Earth Science,0,1
1990.0,10.0,0.0,11.0,274,Soyuz-U2,Kosmos 2101 (Orlets-1),,,LEO,Reconnaissance,0,1
1990.0,10.0,0.0,21.0,64,Delta II 6925,GPS II-9 (USA-64),US Air Force,,MEO,Navigation,0,1
,,,,317,Zenit-2,"Tselina-2, First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.",,"Intended: LEO, First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","ELINT, First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.",0,0
1990.0,10.0,4.0,6.0,140,Long March 2C,FSW-1-3,,,LEO,Reconnaissance,0,1
1990.0,10.0,5.0,11.0,277,Space Shuttle Discovery,"STS-41, /Ulysses, Crewed orbital flight with 5 astronauts","NASA, ESA/NASA, Crewed orbital flight with 5 astronauts",,"LEO, Heliocentric, Crewed orbital flight with 5 astronauts","Satellite deployment, Solar probe, Crewed orbital flight with 5 astronauts",1,1
1990.0,10.0,4.0,22.0,10,Ariane 4 (44L),"SBS 6, Galaxy 6","SBS, PanAmSat",,GEO,Communications,0,1
1990.0,10.0,1.0,19.0,270,Soyuz-U,Kosmos 2102 (Yantar-4K2),,,LEO,Reconnaissance,0,1
1990.0,10.0,1.0,23.0,64,Delta II 6925,Inmarsat 2F1,Inmarsat,,GEO,Communications,0,1
1990.0,11.0,5.0,14.0,215,Proton-K/DM-2,Gorizont 21,,,GEO,Communications,0,1
1990.0,11.0,1.0,0.0,298,Titan IVA (402)/IUS,USA-65 (DSP-15),US Air Force,,GEO,Early warning,0,1
1990.0,11.0,2.0,6.0,309,Tsyklon-2,Kosmos 2103 (US-P),,,LEO,Naval Reconnaissance,0,1
1990.0,11.0,3.0,23.0,275,Space Shuttle Atlantis,"STS-38, USA-67 (SDS-2), Prowler, Crewed orbital flight with 5 astronauts","NASA, NRO, Crewed orbital flight with 5 astronauts",,"LEO, GEO, Crewed orbital flight with 5 astronauts","Satellite deployment, Communications, Satellite inspection Technology, Crewed orbital flight with 5 astronauts",1,1
1990.0,11.0,4.0,16.0,270,Soyuz-U,Kosmos 2104 (Zenit-8),,,LEO,Reconnaissance,0,1
1990.0,11.0,1.0,2.0,180,Molniya-M/2BL,Kosmos 2105 (Oko),,,Molniya,Early warning,0,1
1990.0,11.0,1.0,23.0,9,Ariane 4 (42P),"Satcom C1, GStar 4","GE Americom, Spacenet",,GEO,Communications,0,1
1990.0,11.0,4.0,3.0,182,Molniya-M/ML,Molniya 1-79,,,Molniya,Communications,0,1
1990.0,11.0,4.0,13.0,215,Proton-K/DM-2,Gorizont 22,,,GEO,Communications,0,1
1990.0,11.0,0.0,21.0,83,Delta II 7925,GPS IIA-1 (USA-66),US Air Force,,MEO,Navigation,0,1
1990.0,11.0,2.0,16.0,310,Tsyklon-3,Kosmos 2106 (Tselina-D),,,LEO,ELINT,0,1
1990.0,12.0,5.0,15.0,52,Atlas-E/Star-37,USA-68 (DMSP-5D2 F10),US Air Force,,Sun-synchronous,Weather satellite,0,1
1990.0,12.0,6.0,6.0,276,Space Shuttle Columbia,"STS-35, Crewed orbital flight with 7 astronauts","NASA, Crewed orbital flight with 7 astronauts",,"LEO, Crewed orbital flight with 7 astronauts","Astronomy, Crewed orbital flight with 7 astronauts",1,1
1990.0,12.0,6.0,8.0,274,Soyuz-U2,"Soyuz TM-11, Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.",Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.,,"LEO (Mir), Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.","Mir EO-8, Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.",1,1
1990.0,12.0,1.0,0.0,309,Tsyklon-2,Kosmos 2107 (US-P),,,LEO,Naval Reconnaissance,0,1
1990.0,12.0,1.0,18.0,270,Soyuz-U,Kosmos 2108 (Yantar-4K2),,,LEO,Reconnaissance,0,1
1990.0,12.0,5.0,2.0,215,Proton-K/DM-2,"Kosmos 2109 (GLONASS), Kosmos 2110 (GLONASS), Kosmos 2111 (GLONASS)",,,MEO,Navigation,0,1
1990.0,12.0,0.0,7.0,130,Kosmos-3M,Kosmos 2112 (Strela-2M),,,LEO,Communications,0,1
1990.0,12.0,3.0,11.0,215,Proton-K/DM-2,Raduga 26,,,GEO,Communications,0,1
1990.0,12.0,4.0,6.0,270,Soyuz-U,Kosmos 2113 (Yantar-4KS1),,,LEO,Reconnaissance,0,1
1990.0,12.0,5.0,7.0,310,Tsyklon-3,"Kosmos 2114 (Strela-3), Kosmos 2115 (Strela-3), Kosmos 2116 (Strela-3), Kosmos 2117 (Strela-3), Kosmos 2118 (Strela-3), Kosmos 2119 (Strela-3)",,,LEO,Communications,0,1
1990.0,12.0,2.0,11.0,270,Soyuz-U,Kosmos 2120 (Zenit-8),,,LEO,Reconnaissance,0,1
1990.0,12.0,3.0,11.0,215,Proton-K/DM-2,Raduga-1-2,,,GEO,Communications,0,1
1992.0,1.0,1.0,15.0,270,Soyuz-U,"Kosmos 2175 (Yantar-4K2), First Russian (post Soviet) satellite launch","VKS, First Russian (post Soviet) satellite launch",,"LEO, First Russian (post Soviet) satellite launch","Reconnaissance, First Russian (post Soviet) satellite launch",0,1
1992.0,1.0,2.0,14.0,277,Space Shuttle Discovery,"STS-42, Spacelab Long Module 2, Crewed orbital flight with seven astronauts","NASA, ESA/NASA, Crewed orbital flight with seven astronauts",,"LEO, LEO (Discovery), Crewed orbital flight with seven astronauts","Microgravity, Spacelab IML-1, Crewed orbital flight with seven astronauts",1,1
1992.0,1.0,4.0,1.0,180,Molniya-M/2BL,Kosmos 2176 (Oko),VKS,,Molniya,Missile defence,0,1
1992.0,1.0,5.0,7.0,274,Soyuz-U2,Progress M-11,Roskosmos,,LEO (Mir),Logistics,0,1
1992.0,1.0,2.0,22.0,215,Proton-K/DM-2,"Kosmos 2177 (GLONASS), Kosmos 2178 (GLONASS), Kosmos 2179 (GLONASS)",VKS,,MEO,Navigation,0,1
,,,,317,Zenit-2,"Tselina-2 #10, Second stage overheated, causing malfunction","MO RF, Second stage overheated, causing malfunction",,"Intended: LEO, Second stage overheated, causing malfunction","ELINT, Second stage overheated, causing malfunction",0,0
1992.0,2.0,1.0,0.0,33,Atlas II,USA-78 (DSCS IIIB-14),US Air Force,,GEO,Communications,0,1
1992.0,2.0,1.0,1.0,120,H-I,"JERS-1, ","NASDA, Final flight of H-I",Final flight,"Sun-synchronous, Final flight of H-I","Earth observation, Final flight of H-I",0,1
1992.0,2.0,0.0,22.0,130,Kosmos-3M,Kosmos 2180 (Parus),MO RF,,LEO,Navigation,0,1
1992.0,2.0,6.0,22.0,83,Delta II 7925,USA-79 (GPS IIA-3),US Air Force,,MEO,Navigation,0,1
1992.0,2.0,2.0,23.0,16,Ariane 4 44L,"Superbird-B1, Arabsat-1C, Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT","SCC, ARABSAT, Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT",,"GEO, Current: Graveyard Operational: GEO, Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT","Communications, Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT",0,1
1992.0,3.0,2.0,4.0,182,Molniya-M/ML,Molniya-1 #83,MOM,,Molniya,Communications,0,1
1992.0,3.0,0.0,22.0,130,Kosmos-3M,Kosmos 2181 (Tsikada),MO RF,,LEO,Navigation,0,1
1992.0,3.0,5.0,0.0,32,Atlas I,Galaxy 5,Hughes,,GEO,Communications,0,1
1992.0,3.0,1.0,10.0,274,Soyuz-U2,"Soyuz TM-14, Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch","Roskosmos, Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch",,"LEO (Mir), Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch","Mir EO-11, Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch",1,1
1992.0,3.0,1.0,13.0,275,Space Shuttle Atlantis,"STS-45, Spacelab Double Pallet, Crewed orbital flight with seven astronauts including the first Belgian in space","NASA, Crewed orbital flight with seven astronauts including the first Belgian in space",,"LEO, LEO (Atlantis), Crewed orbital flight with seven astronauts including the first Belgian in space","Microgravity, Spacelab ATLAS-1, Crewed orbital flight with seven astronauts including the first Belgian in space",1,1
1992.0,4.0,2.0,14.0,270,Soyuz-U,Kosmos 2182 (Yantar-4K2),MO RF,,LEO,Reconnaissance,0,1
1992.0,4.0,3.0,1.0,215,Proton-K/DM-2,Gorizont 25,YeSSS,,GEO,Communications,0,1
1992.0,4.0,2.0,12.0,270,Soyuz-U,Kosmos 2183 (Yantar-4K2),MO RF,,LEO,Reconnaissance,0,1
1992.0,4.0,4.0,3.0,83,Delta II 7925,USA-80 (GPS IIA-4),US Air Force,,MEO,Navigation,0,1
1992.0,4.0,2.0,7.0,130,Kosmos-3M,Kosmos 2184 (Parus),MO RF,,LEO,Navigation,0,1
1992.0,4.0,2.0,23.0,16,Ariane 4 44L,"Inmarsat-2F4, Télécom 2B","Inmarsat, France Télécom",,GEO,Communications,0,1
1992.0,4.0,6.0,21.0,274,Soyuz-U2,Progress M-12,Roskosmos,,LEO (Mir),Logistics,0,1
1992.0,4.0,5.0,8.0,291,Titan 23G,USA-81 (Bernie/Singleton),NRO,,LEO (Polar),ELINT,0,1
1992.0,4.0,2.0,9.0,270,Soyuz-U,Resurs-F #14,MO RF,,LEO,Remote sensing,0,1
1992.0,4.0,2.0,10.0,270,Soyuz-U,Kosmos 2185 (Yantar-1KFT),MO RF,,LEO,Reconnaissance,0,1
1992.0,5.0,3.0,23.0,278,Space Shuttle Endeavour,STS-49,NASA,,LEO,Satellite reboost,0,1
1992.0,5.0,3.0,0.0,87,Delta II 7925-8,Palapa-B4,Telkom,,GEO,Communications,0,1
1992.0,5.0,2.0,0.0,0,ASLV,"SROSS-C, Placed into incorrect orbit due to fifth stage spin-up failure","ISRO, Placed into incorrect orbit due to fifth stage spin-up failure",,"LEO, Placed into incorrect orbit due to fifth stage spin-up failure","Magnetosphere, Placed into incorrect orbit due to fifth stage spin-up failure",0,0
1992.0,5.0,3.0,19.0,270,Soyuz-U,Kosmos 2186 (Yantar-4K2),MO RF,,LEO,Reconnaissance,0,1
1992.0,6.0,2.0,0.0,130,Kosmos-3M,"Kosmos 2187 (Strela-1M), Kosmos 2188 (Strela-1M), Kosmos 2189 (Strela-1M), Kosmos 2190 (Strela-1M), Kosmos 2191 (Strela 1M), Kosmos 2192 (Strela-1M), Kosmos 2193 (Strela-1M), Kosmos 2194 (Strela-1M)",MO RF,,LEO,Communications,0,1
1992.0,6.0,6.0,16.0,62,Delta II 6920-10,"EUVE, ","NASA, Final flight of Delta II 6920",Final flight,"LEO, Final flight of Delta II 6920","Ultraviolet astronomy, Final flight of Delta II 6920",0,1
1992.0,6.0,2.0,0.0,35,Atlas IIA,Intelsat K,Intelsat,,GEO,Communications,0,1
1992.0,6.0,1.0,8.0,270,Soyuz-U,Resurs-F #15,MO RF,,LEO,Remote sensing,0,1
