DateTimeYear,index,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite
4 February 12:27:03 (UTC)[18]-1990,36,Long March 3[18],DFH-2[18] A-4,,GEO,Communications,In orbit,Successful; retired in the early 1990s[20],,
6 February 16:30-1990,38,Kosmos-3M,Kosmos 2059 (Taifun-2),,LEO,Radar calibration,12 November,Successful,,
7 February 01:33-1990,"40, 41, 42",H-I,"MOS 1B, DEBUT, JAS-1B",NASDA,LEO,"Earth observation, Technology demonstration, Communications",In orbit,"Operational, Successful",,
11 February 06:16-1990,"44, 45",Soyuz-U2,"Soyuz TM-9, Crewed orbital flight with 2 cosmonauts",Crewed orbital flight with 2 cosmonauts,"LEO (Mir), Crewed orbital flight with 2 cosmonauts","Mir EO-9, Crewed orbital flight with 2 cosmonauts","9 August 07:33, Crewed orbital flight with 2 cosmonauts","Successful, Crewed orbital flight with 2 cosmonauts",,
14 February 16:15:01 (UTC)[21][18]-1990,"47, 48",Delta II 6920-8[18],"LACE (USA-51)[18], RME (USA-52)[18]",DoD,LEO,Technology demonstration,"24 May 2000[22], 24 May 1992[23]",Successful,,
15 February 07:52-1990,51,Proton-K/DM-2,Raduga 25,,GEO,Communications,In orbit,Operational,,
22 February 23:17-1990,"53, 54, 55",Ariane 4 (44L),"Superbird B, BS 2X, Blocked water line caused rocket explosion","SCC, Blocked water line caused rocket explosion","Intended: GEO transfer, Blocked water line caused rocket explosion","Communications, Blocked water line caused rocket explosion","T+ seconds, Blocked water line caused rocket explosion","Launch failure, Blocked water line caused rocket explosion",,
27 February 20:59-1990,57,Kosmos-3M,Nadezhda 2,,LEO,Navigation,In orbit,Operational,,
28 February 00:55-1990,59,Tsyklon-3,Okean 2,,LEO,Earth science,In orbit,Operational,,
28 February 07:50-1990,"61, 62, 63",Space Shuttle Atlantis,"STS-36, USA-53 (Misty-1), Crewed orbital flight with 5 astronauts","NASA, NRO, Crewed orbital flight with 5 astronauts","LEO, Crewed orbital flight with 5 astronauts","Satellite deployment, Reconnaissance, Crewed orbital flight with 5 astronauts","4 March 03:08, In orbit, Crewed orbital flight with 5 astronauts","Successful, Operational, Crewed orbital flight with 5 astronauts",,
28 February 23:10-1990,65,Soyuz-U2,Progress M-3,,LEO (Mir),Logistics,28 April 00:52,Successful,,
14 March 11:52-1990,"68, 69",Commercial Titan III,"Intelsat 603, Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.","Intelsat, Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.","GEO, Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a LEO orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.","Communications, Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.","In orbit, Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.","Partial launch failure, Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.",,
14 March 15:27-1990,71,Tsyklon-2,Kosmos 2060 (US-P),,LEO,Naval Reconnaissance,1 September 1991,Successful,,
20 March 00:25-1990,73,Kosmos-3M,Kosmos 2061 (Parus),,LEO,Navigation,In orbit,Successful,,
22 March 07:20-1990,75,Soyuz-U,Kosmos 2062 (Zenit-8),,LEO,Reconnaissance,28 April,Successful,,
26 March 02:45-1990,"77, 78",Delta II 6925,"GPS II-7 (USA-54), Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.","US Air Force, Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.","MEO, Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.","Navigation, Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.","In orbit, Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.","Spacecraft failure, Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.",,
27 March 16:40-1990,80,Molniya-M/2BL,Kosmos 2063 (Oko),,Molniya,Early warning,In orbit,Operational,,
3 April 12:02-1990,83,Shavit,Ofeq-2,,LEO (retrograde),Reconnaissance,In orbit,Operational,,
3 April-1990,85,Soyuz-U,Yantar-4K2,,Intended: LEO,Reconnaissance,3 April,Launch failure,,
5 April 19:10-1990,"87, 88",Pegasus,"Pegsat, USA-55 (SECS)","NASA, DoD",LEO,"Space Physics, Communications","14 November 1998, In orbit","Successful, Operational",,
6 April 03:13-1990,"91, 92, 93, 94, 95, 96, 97, 98",Kosmos-3M,"Kosmos 2064 (Strela-1M), Kosmos 2065 (Strela-1M), Kosmos 2066 (Strela-1M), Kosmos 2067 (Strela-1M), Kosmos 2068 (Strela-1M), Kosmos 2069 (Strela-1M), Kosmos 2070 (Strela-1M), Kosmos 2071 (Strela-1M)",,LEO,Communications,In orbit,Operational,,
7 April 13:30-1990,"100, 101",Long March 3,"AsiaSat 1, Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.","AsiaSat, Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.","GEO, Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.","Communications, Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.","In orbit, Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.","Operational, Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.",,
11 April 15:00-1990,"103, 104, 105",Atlas-E/Altair-3A,"USA-56 (POGS), USA-57 (TEX), USA-58 (SCE)",DoD,LEO,Technology demonstration,In orbit,Successful,,
11 April 17:00-1990,107,Soyuz-U,/Foton 6,CNES,LEO,Microgravity research,27 April 06:15,Successful,,
13 April 18:53-1990,109,Soyuz-U,Kosmos 2072 (Yantar-4KS1),,LEO,Reconnaissance,22 November,Successful,,
13 April 22:28-1990,"111, 112",Delta II 6925-8,"Palapa B2R, Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.","Telkom Indonesia, Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.","GEO, Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.","Communications, Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.","In orbit, Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.","Operational, Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.",,
17 April 08:00-1990,114,Soyuz-U,Kosmos 2073 (Zenit-8),,LEO,Reconnaissance,28 April,Successful,,
20 April 18:41-1990,116,Kosmos-3M,Kosmos 2074 (Parus),,LEO,Navigation,In orbit,Operational,,
24 April 12:33-1990,"118, 119, 120",Space Shuttle Discovery,"STS-31, /Hubble Space Telescope, Crewed orbital flight with 5 astronauts","NASA, NASA/ESA, Crewed orbital flight with 5 astronauts","LEO, Crewed orbital flight with 5 astronauts","HST deployment, Space Telescope, Crewed orbital flight with 5 astronauts","29 April 13:49, In orbit, Crewed orbital flight with 5 astronauts","Successful, Operational, Crewed orbital flight with 5 astronauts",,
25 April 13:00-1990,122,Kosmos-3M,Kosmos 2075 (Taifun-2),,LEO,Target,20 February 1992,Successful,,
26 April 01:37-1990,124,Molniya-M/ML,Molniya 1-77,,Molniya,Communications,25 February 2005,Successful,,
28 April 11:37-1990,126,Molniya-M/2BL,Kosmos 2076 (Oko),,Molniya,Early warning,In orbit,Operational,,
5 May 20:44-1990,"129, 130",Soyuz-U2,"Progress 42, ",Final flight of baseline Progress spacecraft,"LEO (Mir), Final flight of baseline Progress spacecraft","Logistics, Final flight of baseline Progress spacecraft","27 May 12:27, Final flight of baseline Progress spacecraft","Successful, Final flight of baseline Progress spacecraft",Final flight,
7 May 18:39-1990,132,Soyuz-U,Kosmos 2077 (Yantar-4K2),,LEO,Reconnaissance,4 July,Successful,,
9 May 17:50-1990,"134, 135",Scout G-1,"MacSat 1, MacSat 2",DARPA,LEO,Communications,In orbit,Successful,,
15 May 09:55-1990,137,Soyuz-U,Kosmos 2078 (Yantar-1KFT),,LEO,Reconnaissance,28 June,Successful,,
19 May 08:32-1990,"139, 140, 141",Proton-K/DM-2,"Kosmos 2079 (GLONASS), Kosmos 2080 (GLONASS), Kosmos 2081 (GLONASS)",,MEO,Navigation,In orbit,Operational,,
22 May 05:14-1990,"143, 144",Zenit-2,"Kosmos 2082 (Tselina-2), First launch from Site 45/2",First launch from Site 45/2,"LEO, First launch from Site 45/2","ELINT, First launch from Site 45/2","In orbit, First launch from Site 45/2","Operational, First launch from Site 45/2",,
29 May 07:19-1990,146,Soyuz-U,Resurs-F6,,LEO,Reconnaissance,14 June,Successful,,
31 May 10:33-1990,148,Proton-K,Kristall,,LEO (Mir),Mir module,23 March 2001 05:50,Successful,,
1 June 21:48-1990,151,Delta II 6920-10,ROSAT,,LEO,Astronomy,23 October 2011,Successful,,
8 June 05:21-1990,"153, 154, 155, 156",Titan IVA (405),"USA-59 (SLDCOM), USA-60 (NOSS-2), USA-61 (NOSS-2), USA-62 (NOSS-2)","US Air Force, US Navy",LEO,"Communications, Naval Reconnaissance",In orbit,Operational,,
12 June 05:52-1990,"158, 159",Delta 4925,"INSAT 1D, ","ISRO, Final flight of Delta 4925","GEO, Final flight of Delta 4925","Communications, Final flight of Delta 4925","In orbit, Final flight of Delta 4925","Successful, Final flight of Delta 4925",Final flight,
13 June 01:07-1990,161,Molniya-M/ML,Molniya 3-47L,,Molniya,Communications,26 February 2006,Successful,,
19 June 08:45-1990,163,Soyuz-U,Kosmos 2083 (Zenit-8),,LEO,Reconnaissance,3 July 1990,Successful,,
20 June 23:36-1990,165,Proton-K/DM,Gorizont 20,,GEO,Communications,In orbit,Successful,,
21 June 20:45-1990,"167, 168",Molniya-M/2BL,"Kosmos 2084 (Oko), Placed in an incorrect orbit and the satellite did not communicate with the ground.",Placed in an incorrect orbit and the satellite did not communicate with the ground.,"Intended: Molniya Achieved: LEO, Placed in an incorrect orbit and the satellite did not communicate with the ground.","Early warning, Placed in an incorrect orbit and the satellite did not communicate with the ground.","In orbit, Placed in an incorrect orbit and the satellite did not communicate with the ground.","Partial Failure, Placed in an incorrect orbit and the satellite did not communicate with the ground.",,
23 June 11:19-1990,170,Commercial Titan III,Intelsat 604,Intelsat,GEO,Communications,In orbit,Successful,,
27 June 22:30-1990,172,Tsyklon-3,Meteor-2-19,,LEO,Earth Sciences,In orbit,Successful,,
3 July-1990,175,Soyuz-U,Yantar-4K2,,Intended: LEO,Reconnaissance,3 July,Launch failure,,
11 July 10:00-1990,177,Soyuz-U2,/Gamma,CNES,LEO,Astronomy,28 February 1992,Successful,,
16 July 00:40-1990,"179, 180",Long March 2E,"Badr-1, HS-601",SUPARCO,LEO,"Communications, Boilerplate spacecraft","8 December, In orbit",Successful,,
17 July 09:29-1990,183,Soyuz-U,Resurs-F7,,LEO,Reconnaissance,16 August,Successful,,
18 July 21:46-1990,185,Proton-K/DM-2,Kosmos 2085 (Geizer 17L),,GEO,Communications,In orbit,Operational,,
20 July 08:40-1990,187,Soyuz-U,Kosmos 2086 (Zenit-8),,LEO,Reconnaissance,3 August,Successful,,
24 July 22:25-1990,"189, 190",Ariane 4 (44L),"TDF-2, DFS-2",Telediffusion,GEO,Communications,In orbit,Successful,,
25 July 18:13-1990,192,Molniya-M/2BL,Kosmos 2087 (Oko),,Molniya,Early warning,In orbit,Operational,,
25 July 19:21-1990,194,Atlas I,CRRES,US Air Force,GEO transfer,Space Physics,In orbit,Successful,,
30 July 00:06-1990,197,Tsyklon-3,Kosmos 2088 (Geo-IK),,LEO,Earth Science,In orbit,Successful,,
1 August 09:32-1990,"200, 201",Soyuz-U2,"Soyuz TM-10, Crewed orbital flight with 2 cosmonauts",Crewed orbital flight with 2 cosmonauts,"LEO (Mir), Crewed orbital flight with 2 cosmonauts","Mir EO-7, Crewed orbital flight with 2 cosmonauts","10 December 06:08, Crewed orbital flight with 2 cosmonauts","Successful, Crewed orbital flight with 2 cosmonauts",,
2 August 05:39-1990,203,Delta II 6925,GPS II-8 (USA-63),US Air Force,MEO,Navigation,In orbit,Operational,,
3 August 19:45-1990,205,Soyuz-U,Kosmos 2089 (Yantar-4K2),,LEO,Reconnaissance,1 October,Successful,,
8 August 04:15-1990,"207, 208, 209, 210, 211, 212",Tsyklon-3,"Kosmos 2090 (Strela-3), Kosmos 2091 (Strela-3), Kosmos 2092 (Strela-3), Kosmos 2093 (Strela-3), Kosmos 2094 (Strela-3), Kosmos 2095 (Strela-3)",,LEO,Communications,In orbit,Operational,,
9 August 20:18-1990,214,Proton-K/DM-2,Ekran-M,,Intended: GEO,Communications,9 August,Launch failure,,
10 August 20:18-1990,216,Molniya-M/ML,Molniya 1-78,,Molniya,Communications,6 July 2007,Successful,,
15 August 04:00-1990,218,Soyuz-U2,Progress M-4,,LEO (Mir),Logistics,20 September 11:42,Successful,,
16 August 09:54-1990,220,Soyuz-U,Resurs-F8,,LEO,Reconnaissance,1 September,Successful,,
18 August 00:42-1990,222,Delta II 6925,Marco Polo 2,,GEO,Communications,In orbit,Successful,,
23 August 16:17-1990,224,Tsyklon-2,Kosmos 2096 (US-P),,LEO,Naval Reconnaissance,30 August 1992,Successful,,
28 August 07:49-1990,226,Molniya-M/2BL,Kosmos 2097 (Oko),,Molniya,Early warning,In orbit,Operational,,
28 August 09:05-1990,228,H-1,BS 3A,,GEO,Communications,In orbit,Successful,,
28 August 15:45-1990,230,Kosmos-3M,Kosmos 2098 (Taifun-1),,LEO,Earth Science,In orbit,Successful,,
30 August 22:46-1990,"232, 233",Ariane 4 (44LP),"Skynet 4C, Eutelsat 2F1","MoD, Eutelsat",GEO,Communications,In orbit,"Operational, Successful",,
31 August 08:00-1990,235,Soyuz-U,Kosmos 2099 (Zenit-8),,LEO,Reconnaissance,14 September,Successful,,
3 September 00:53-1990,"238, 239, 240, 241",Long March 4A,"Feng Yun 1B, Qi Qiu Weixing 1, Qi Qiu Weixing 2, ",Final flight of Long March 4A,"Sun-synchronous, Final flight of Long March 4A","Weather satellite, Atmospheric research, Final flight of Long March 4A","In orbit, 11 March 1991, 24 July 1991, Final flight of Long March 4A","Successful, Final flight of Long March 4A",Final flight,
7 September 11:59-1990,243,Soyuz-U,Resurs-F9,,LEO,Reconnaissance,21 September,Successful,,
14 September 05:59-1990,245,Kosmos-3M,Kosmos 2100 (Parus),,LEO,Navigation,In orbit,Operational,,
20 September 20:16-1990,247,Molniya-M/ML,Molniya 3-54L,,Molniya,Communications,In orbit,Operational,,
27 September 10:37-1990,249,Soyuz-U2,Progress M-5,,LEO (Mir),Logistics,28 November 11:04,Successful,,
28 September 07:30-1990,251,Tsyklon-3,Meteor-2-20,,LEO,Earth Science,In orbit,Successful,,
1 October 11:00-1990,254,Soyuz-U2,Kosmos 2101 (Orlets-1),,LEO,Reconnaissance,30 November,Successful,,
1 October 21:56-1990,256,Delta II 6925,GPS II-9 (USA-64),US Air Force,MEO,Navigation,In orbit,Successful,,
4 October-1990,"258, 259",Zenit-2,"Tselina-2, First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","Intended: LEO, First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","ELINT, First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","T+5 seconds, First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","Launch failure, First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.",,
5 October 06:14-1990,261,Long March 2C,FSW-1-3,,LEO,Reconnaissance,13 October 03:59,Successful,,
6 October 11:47-1990,"263, 264, 265",Space Shuttle Discovery,"STS-41, /Ulysses, Crewed orbital flight with 5 astronauts","NASA, ESA/NASA, Crewed orbital flight with 5 astronauts","LEO, Heliocentric, Crewed orbital flight with 5 astronauts","Satellite deployment, Solar probe, Crewed orbital flight with 5 astronauts","10 October, In orbit, Crewed orbital flight with 5 astronauts","Successful, Crewed orbital flight with 5 astronauts",,
12 October 22:58-1990,"267, 268",Ariane 4 (44L),"SBS 6, Galaxy 6","SBS, PanAmSat",GEO,Communications,In orbit,Successful,,
16 October 19:00-1990,270,Soyuz-U,Kosmos 2102 (Yantar-4K2),,LEO,Reconnaissance,12 December,Successful,,
30 October 23:16-1990,272,Delta II 6925,Inmarsat 2F1,Inmarsat,GEO,Communications,In orbit,Operational,,
3 November 14:40-1990,275,Proton-K/DM-2,Gorizont 21,,GEO,Communications,In orbit,Successful,,
13 November 00:37-1990,277,Titan IVA (402)/IUS,USA-65 (DSP-15),US Air Force,GEO,Early warning,In orbit,Operational,,
14 November 06:33-1990,279,Tsyklon-2,Kosmos 2103 (US-P),,LEO,Naval Reconnaissance,3 April 1991,Successful,,
15 November 23:48-1990,"281, 282, 283, 284",Space Shuttle Atlantis,"STS-38, USA-67 (SDS-2), Prowler, Crewed orbital flight with 5 astronauts","NASA, NRO, Crewed orbital flight with 5 astronauts","LEO, GEO, Crewed orbital flight with 5 astronauts","Satellite deployment, Communications, Satellite inspection Technology, Crewed orbital flight with 5 astronauts","20 November 21:42, In orbit, Crewed orbital flight with 5 astronauts","Successful, Operational, Crewed orbital flight with 5 astronauts",,
16 November 16:30-1990,286,Soyuz-U,Kosmos 2104 (Zenit-8),,LEO,Reconnaissance,4 December,Successful,,
20 November 02:33-1990,288,Molniya-M/2BL,Kosmos 2105 (Oko),,Molniya,Early warning,16 January 2008,Successful,,
20 November 23:11-1990,"290, 291",Ariane 4 (42P),"Satcom C1, GStar 4","GE Americom, Spacenet",GEO,Communications,In orbit,Successful,,
23 November 03:51-1990,294,Molniya-M/ML,Molniya 1-79,,Molniya,Communications,30 August 2005,Successful,,
23 November 13:22-1990,296,Proton-K/DM-2,Gorizont 22,,GEO,Communications,In orbit,Operational,,
26 November 21:39-1990,298,Delta II 7925,GPS IIA-1 (USA-66),US Air Force,MEO,Navigation,In orbit,Successful,,
28 November 16:33-1990,301,Tsyklon-3,Kosmos 2106 (Tselina-D),,LEO,ELINT,7 April 2000,Successful,,
1 December 15:57-1990,304,Atlas-E/Star-37,USA-68 (DMSP-5D2 F10),US Air Force,Sun-synchronous,Weather satellite,In orbit,Successful,,
2 December 06:49-1990,"306, 307",Space Shuttle Columbia,"STS-35, Crewed orbital flight with 7 astronauts","NASA, Crewed orbital flight with 7 astronauts","LEO, Crewed orbital flight with 7 astronauts","Astronomy, Crewed orbital flight with 7 astronauts","10 December 23:54, Crewed orbital flight with 7 astronauts","Successful, Crewed orbital flight with 7 astronauts",,
2 December 08:13-1990,"309, 310",Soyuz-U2,"Soyuz TM-11, Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.",Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.,"LEO (Mir), Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.","Mir EO-8, Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.","26 May 1991 10:04, Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.","Successful, Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.",,
4 December 00:48-1990,312,Tsyklon-2,Kosmos 2107 (US-P),,LEO,Naval Reconnaissance,6 April 1992,Successful,,
4 December 18:30-1990,314,Soyuz-U,Kosmos 2108 (Yantar-4K2),,LEO,Reconnaissance,28 January 1991,Successful,,
8 December 02:43-1990,"316, 317, 318",Proton-K/DM-2,"Kosmos 2109 (GLONASS), Kosmos 2110 (GLONASS), Kosmos 2111 (GLONASS)",,MEO,Navigation,In orbit,Operational,,
10 December 07:54-1990,320,Kosmos-3M,Kosmos 2112 (Strela-2M),,LEO,Communications,In orbit,Successful,,
20 December 11:35-1990,322,Proton-K/DM-2,Raduga 26,,GEO,Communications,In orbit,Operational,,
21 December 06:20-1990,324,Soyuz-U,Kosmos 2113 (Yantar-4KS1),,LEO,Reconnaissance,11 June 1991,Successful,,
22 December 07:28-1990,"326, 327, 328, 329, 330, 331",Tsyklon-3,"Kosmos 2114 (Strela-3), Kosmos 2115 (Strela-3), Kosmos 2116 (Strela-3), Kosmos 2117 (Strela-3), Kosmos 2118 (Strela-3), Kosmos 2119 (Strela-3)",,LEO,Communications,In orbit,Operational,,
26 December 11:10-1990,333,Soyuz-U,Kosmos 2120 (Zenit-8),,LEO,Reconnaissance,17 January 1991,Successful,,
27 December 11:08-1990,335,Proton-K/DM-2,Raduga-1-2,,GEO,Communications,In orbit,Operational,,
21 January 15:00-1992,"338, 339",Soyuz-U,"Kosmos 2175 (Yantar-4K2), First Russian (post Soviet) satellite launch","VKS, First Russian (post Soviet) satellite launch","LEO, First Russian (post Soviet) satellite launch","Reconnaissance, First Russian (post Soviet) satellite launch","20 March, First Russian (post Soviet) satellite launch","Successful, First Russian (post Soviet) satellite launch",,
22 January 14:52:33-1992,"341, 342, 343",Space Shuttle Discovery[1],"STS-42, Spacelab Long Module 2, Crewed orbital flight with seven astronauts","NASA, ESA/NASA, Crewed orbital flight with seven astronauts","LEO, LEO (Discovery), Crewed orbital flight with seven astronauts","Microgravity, Spacelab IML-1, Crewed orbital flight with seven astronauts","30 January 16:07:17, Crewed orbital flight with seven astronauts","Successful, Crewed orbital flight with seven astronauts",,
24 January 01:18:01-1992,345,Molniya-M/2BL,Kosmos 2176 (Oko),VKS,Molniya,Missile defence,17 January 2012,Successful,,
25 January 07:50:17-1992,347,Soyuz-U2,Progress M-11,Roskosmos,LEO (Mir),Logistics,13 March,Successful,,
29 January 22:19:12-1992,"349, 350, 351",Proton-K/DM-2,"Kosmos 2177 (GLONASS), Kosmos 2178 (GLONASS), Kosmos 2179 (GLONASS)",VKS,MEO,Navigation,In orbit,Successful,,
5 February-1992,"354, 355",Zenit-2,"Tselina-2 #10, Second stage overheated, causing malfunction","MO RF, Second stage overheated, causing malfunction","Intended: LEO, Second stage overheated, causing malfunction","ELINT, Second stage overheated, causing malfunction","5 February, Second stage overheated, causing malfunction","Launch failure, Second stage overheated, causing malfunction",,
11 February 00:41:02-1992,357,Atlas II,USA-78 (DSCS IIIB-14),US Air Force,GEO,Communications,In orbit,Operational,,
