Rocket,Payload,Operator,Orbit,Function,Decay,FlightNumberInfo,LaunchSite,Success,Rocket_ID,Year,Month,DayOfWeek,Hour
H-I,MOS 1B,NASDA,LEO,Earth observation,In orbit,,,1,129,1990.0,2.0,2.0,1.0
H-I,DEBUT,NASDA,LEO,Technology demonstration,In orbit,,,1,129,1990.0,2.0,2.0,1.0
H-I,JAS-1B,NASDA,LEO,Communications,In orbit,,,1,129,1990.0,2.0,2.0,1.0
Soyuz-U2,Soyuz TM-9,Crewed orbital flight with 2 cosmonauts,LEO (Mir),Mir EO-9,9 August 07:33,,,1,292,1990.0,2.0,6.0,6.0
Soyuz-U2,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,,,0,292,1990.0,2.0,6.0,6.0
Delta II 6920-8[18],LACE (USA-51)[18],DoD,LEO,Technology demonstration,24 May 2000[22],,,1,67,1990.0,2.0,2.0,16.0
Delta II 6920-8[18],RME (USA-52)[18],DoD,LEO,Technology demonstration,24 May 1992[23],,,1,67,1990.0,2.0,2.0,16.0
Proton-K/DM-2,Raduga 25,,GEO,Communications,In orbit,,,1,230,1990.0,2.0,3.0,7.0
Ariane 4 (44L),Superbird B,SCC,Intended: GEO transfer,Communications,T+ seconds,,,0,10,1990.0,2.0,3.0,23.0
Ariane 4 (44L),BS 2X,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,,,0,10,1990.0,2.0,3.0,23.0
Ariane 4 (44L),Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,,,0,10,1990.0,2.0,3.0,23.0
Kosmos-3M,Nadezhda 2,,LEO,Navigation,In orbit,,,1,141,1990.0,2.0,1.0,20.0
Tsyklon-3,Okean 2,,LEO,Earth science,In orbit,,,1,341,1990.0,2.0,2.0,0.0
Space Shuttle Atlantis,STS-36,NASA,LEO,Satellite deployment,4 March 03:08,,,1,294,1990.0,2.0,2.0,7.0
Space Shuttle Atlantis,USA-53 (Misty-1),NRO,Crewed orbital flight with 5 astronauts,Reconnaissance,In orbit,,,1,294,1990.0,2.0,2.0,7.0
Space Shuttle Atlantis,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,,,0,294,1990.0,2.0,2.0,7.0
Soyuz-U2,Progress M-3,,LEO (Mir),Logistics,28 April 00:52,,,1,292,1990.0,2.0,2.0,23.0
Commercial Titan III,Intelsat 603,Intelsat,GEO,Communications,In orbit,,,0,57,1990.0,3.0,2.0,11.0
Commercial Titan III,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a LEO orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,,,0,57,1990.0,3.0,2.0,11.0
Tsyklon-2,Kosmos 2060 (US-P),,LEO,Naval Reconnaissance,1 September 1991,,,1,340,1990.0,3.0,2.0,15.0
Kosmos-3M,Kosmos 2061 (Parus),,LEO,Navigation,In orbit,,,1,141,1990.0,3.0,1.0,0.0
Soyuz-U,Kosmos 2062 (Zenit-8),,LEO,Reconnaissance,28 April,,,1,288,1990.0,3.0,3.0,7.0
Delta II 6925,GPS II-7 (USA-54),US Air Force,MEO,Navigation,In orbit,,,0,68,1990.0,3.0,0.0,2.0
Delta II 6925,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,,,0,68,1990.0,3.0,0.0,2.0
Molniya-M/2BL,Kosmos 2063 (Oko),,Molniya,Early warning,In orbit,,,1,194,1990.0,3.0,1.0,16.0
Shavit,Ofeq-2,,LEO (retrograde),Reconnaissance,In orbit,,,1,264,1990.0,4.0,1.0,12.0
Soyuz-U,Yantar-4K2,,Intended: LEO,Reconnaissance,3 April,,,0,288,,,,
Pegasus,Pegsat,NASA,LEO,Space Physics,14 November 1998,,,1,208,1990.0,4.0,3.0,19.0
Pegasus,USA-55 (SECS),DoD,LEO,Communications,In orbit,,,1,208,1990.0,4.0,3.0,19.0
Kosmos-3M,Kosmos 2064 (Strela-1M),,LEO,Communications,In orbit,,,1,141,1990.0,4.0,4.0,3.0
Kosmos-3M,Kosmos 2065 (Strela-1M),,LEO,Communications,In orbit,,,1,141,1990.0,4.0,4.0,3.0
Kosmos-3M,Kosmos 2066 (Strela-1M),,LEO,Communications,In orbit,,,1,141,1990.0,4.0,4.0,3.0
Kosmos-3M,Kosmos 2067 (Strela-1M),,LEO,Communications,In orbit,,,1,141,1990.0,4.0,4.0,3.0
Kosmos-3M,Kosmos 2068 (Strela-1M),,LEO,Communications,In orbit,,,1,141,1990.0,4.0,4.0,3.0
Kosmos-3M,Kosmos 2069 (Strela-1M),,LEO,Communications,In orbit,,,1,141,1990.0,4.0,4.0,3.0
Kosmos-3M,Kosmos 2070 (Strela-1M),,LEO,Communications,In orbit,,,1,141,1990.0,4.0,4.0,3.0
Kosmos-3M,Kosmos 2071 (Strela-1M),,LEO,Communications,In orbit,,,1,141,1990.0,4.0,4.0,3.0
Long March 3,AsiaSat 1,AsiaSat,GEO,Communications,In orbit,,,1,160,1990.0,4.0,5.0,13.0
Long March 3,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,,,0,160,1990.0,4.0,5.0,13.0
Atlas-E/Altair-3A,USA-56 (POGS),DoD,LEO,Technology demonstration,In orbit,,,1,54,1990.0,4.0,2.0,15.0
Atlas-E/Altair-3A,USA-57 (TEX),DoD,LEO,Technology demonstration,In orbit,,,1,54,1990.0,4.0,2.0,15.0
Atlas-E/Altair-3A,USA-58 (SCE),DoD,LEO,Technology demonstration,In orbit,,,1,54,1990.0,4.0,2.0,15.0
Soyuz-U,/Foton 6,CNES,LEO,Microgravity research,27 April 06:15,,,1,288,1990.0,4.0,2.0,17.0
Soyuz-U,Kosmos 2072 (Yantar-4KS1),,LEO,Reconnaissance,22 November,,,1,288,1990.0,4.0,4.0,18.0
Delta II 6925-8,Palapa B2R,Telkom Indonesia,GEO,Communications,In orbit,,,1,69,1990.0,4.0,4.0,22.0
Delta II 6925-8,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,,,0,69,1990.0,4.0,4.0,22.0
Soyuz-U,Kosmos 2073 (Zenit-8),,LEO,Reconnaissance,28 April,,,1,288,1990.0,4.0,1.0,8.0
Kosmos-3M,Kosmos 2074 (Parus),,LEO,Navigation,In orbit,,,1,141,1990.0,4.0,4.0,18.0
Space Shuttle Discovery,STS-31,NASA,LEO,HST deployment,29 April 13:49,,,1,300,1990.0,4.0,1.0,12.0
Space Shuttle Discovery,/Hubble Space Telescope,NASA/ESA,Crewed orbital flight with 5 astronauts,Space Telescope,In orbit,,,1,300,1990.0,4.0,1.0,12.0
Space Shuttle Discovery,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,,,0,300,1990.0,4.0,1.0,12.0
Kosmos-3M,Kosmos 2075 (Taifun-2),,LEO,Target,20 February 1992,,,1,141,1990.0,4.0,2.0,13.0
Molniya-M/ML,Molniya 1-77,,Molniya,Communications,25 February 2005,,,1,197,1990.0,4.0,3.0,1.0
Molniya-M/2BL,Kosmos 2076 (Oko),,Molniya,Early warning,In orbit,,,1,194,1990.0,4.0,5.0,11.0
Soyuz-U2,Progress 42,Final flight of baseline Progress spacecraft,LEO (Mir),Logistics,27 May 12:27,Final flight,,1,292,1990.0,5.0,5.0,20.0
Soyuz-U2,,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight,,0,292,1990.0,5.0,5.0,20.0
Soyuz-U,Kosmos 2077 (Yantar-4K2),,LEO,Reconnaissance,4 July,,,1,288,1990.0,5.0,0.0,18.0
Scout G-1,MacSat 1,DARPA,LEO,Communications,In orbit,,,1,262,1990.0,5.0,2.0,17.0
Scout G-1,MacSat 2,DARPA,LEO,Communications,In orbit,,,1,262,1990.0,5.0,2.0,17.0
Soyuz-U,Kosmos 2078 (Yantar-1KFT),,LEO,Reconnaissance,28 June,,,1,288,1990.0,5.0,1.0,9.0
Proton-K/DM-2,Kosmos 2079 (GLONASS),,MEO,Navigation,In orbit,,,1,230,1990.0,5.0,5.0,8.0
Proton-K/DM-2,Kosmos 2080 (GLONASS),,MEO,Navigation,In orbit,,,1,230,1990.0,5.0,5.0,8.0
Proton-K/DM-2,Kosmos 2081 (GLONASS),,MEO,Navigation,In orbit,,,1,230,1990.0,5.0,5.0,8.0
Zenit-2,Kosmos 2082 (Tselina-2),First launch from Site 45/2,LEO,ELINT,In orbit,,,1,349,1990.0,5.0,1.0,5.0
Zenit-2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,,,0,349,1990.0,5.0,1.0,5.0
Soyuz-U,Resurs-F6,,LEO,Reconnaissance,14 June,,,1,288,1990.0,5.0,1.0,7.0
Proton-K,Kristall,,LEO (Mir),Mir module,23 March 2001 05:50,,,1,214,1990.0,5.0,3.0,10.0
Delta II 6920-10,ROSAT,,LEO,Astronomy,23 October 2011,,,1,66,1990.0,6.0,4.0,21.0
Titan IVA (405),USA-59 (SLDCOM),US Air Force,LEO,Communications,In orbit,,,1,332,1990.0,6.0,4.0,5.0
Titan IVA (405),USA-60 (NOSS-2),US Navy,LEO,Naval Reconnaissance,In orbit,,,1,332,1990.0,6.0,4.0,5.0
Titan IVA (405),USA-61 (NOSS-2),US Navy,LEO,Naval Reconnaissance,In orbit,,,1,332,1990.0,6.0,4.0,5.0
Titan IVA (405),USA-62 (NOSS-2),US Navy,LEO,Naval Reconnaissance,In orbit,,,1,332,1990.0,6.0,4.0,5.0
Delta 4925,INSAT 1D,ISRO,GEO,Communications,In orbit,Final flight,,1,61,1990.0,6.0,1.0,5.0
Delta 4925,,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight,,0,61,1990.0,6.0,1.0,5.0
Molniya-M/ML,Molniya 3-47L,,Molniya,Communications,26 February 2006,,,1,197,1990.0,6.0,2.0,1.0
Soyuz-U,Kosmos 2083 (Zenit-8),,LEO,Reconnaissance,3 July 1990,,,1,288,1990.0,6.0,1.0,8.0
Proton-K/DM,Gorizont 20,,GEO,Communications,In orbit,,,1,229,1990.0,6.0,2.0,23.0
Molniya-M/2BL,Kosmos 2084 (Oko),Placed in an incorrect orbit and the satellite did not communicate with the ground.,Intended: Molniya Achieved: LEO,Early warning,In orbit,,,0,194,1990.0,6.0,3.0,20.0
Molniya-M/2BL,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,,,0,194,1990.0,6.0,3.0,20.0
Commercial Titan III,Intelsat 604,Intelsat,GEO,Communications,In orbit,,,1,57,1990.0,6.0,5.0,11.0
Tsyklon-3,Meteor-2-19,,LEO,Earth Sciences,In orbit,,,1,341,1990.0,6.0,2.0,22.0
Soyuz-U,Yantar-4K2,,Intended: LEO,Reconnaissance,3 July,,,0,288,,,,
Soyuz-U2,/Gamma,CNES,LEO,Astronomy,28 February 1992,,,1,292,1990.0,7.0,2.0,10.0
Long March 2E,Badr-1,SUPARCO,LEO,Communications,8 December,,,1,156,1990.0,7.0,0.0,0.0
Long March 2E,HS-601,SUPARCO,LEO,Boilerplate spacecraft,In orbit,,,1,156,1990.0,7.0,0.0,0.0
Soyuz-U,Resurs-F7,,LEO,Reconnaissance,16 August,,,1,288,1990.0,7.0,1.0,9.0
Proton-K/DM-2,Kosmos 2085 (Geizer 17L),,GEO,Communications,In orbit,,,1,230,1990.0,7.0,2.0,21.0
Soyuz-U,Kosmos 2086 (Zenit-8),,LEO,Reconnaissance,3 August,,,1,288,1990.0,7.0,4.0,8.0
Ariane 4 (44L),TDF-2,Telediffusion,GEO,Communications,In orbit,,,1,10,1990.0,7.0,1.0,22.0
Ariane 4 (44L),DFS-2,Telediffusion,GEO,Communications,In orbit,,,1,10,1990.0,7.0,1.0,22.0
Molniya-M/2BL,Kosmos 2087 (Oko),,Molniya,Early warning,In orbit,,,1,194,1990.0,7.0,2.0,18.0
Atlas I,CRRES,US Air Force,GEO transfer,Space Physics,In orbit,,,1,34,1990.0,7.0,2.0,19.0
Tsyklon-3,Kosmos 2088 (Geo-IK),,LEO,Earth Science,In orbit,,,1,341,1990.0,7.0,0.0,0.0
Soyuz-U2,Soyuz TM-10,Crewed orbital flight with 2 cosmonauts,LEO (Mir),Mir EO-7,10 December 06:08,,,1,292,1990.0,8.0,2.0,9.0
Soyuz-U2,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,,,0,292,1990.0,8.0,2.0,9.0
Delta II 6925,GPS II-8 (USA-63),US Air Force,MEO,Navigation,In orbit,,,1,68,1990.0,8.0,3.0,5.0
Soyuz-U,Kosmos 2089 (Yantar-4K2),,LEO,Reconnaissance,1 October,,,1,288,1990.0,8.0,4.0,19.0
Tsyklon-3,Kosmos 2090 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,8.0,2.0,4.0
Tsyklon-3,Kosmos 2091 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,8.0,2.0,4.0
Tsyklon-3,Kosmos 2092 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,8.0,2.0,4.0
Tsyklon-3,Kosmos 2093 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,8.0,2.0,4.0
Tsyklon-3,Kosmos 2094 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,8.0,2.0,4.0
Tsyklon-3,Kosmos 2095 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,8.0,2.0,4.0
Proton-K/DM-2,Ekran-M,,Intended: GEO,Communications,9 August,,,0,230,1990.0,8.0,3.0,20.0
Molniya-M/ML,Molniya 1-78,,Molniya,Communications,6 July 2007,,,1,197,1990.0,8.0,4.0,20.0
Soyuz-U2,Progress M-4,,LEO (Mir),Logistics,20 September 11:42,,,1,292,1990.0,8.0,2.0,4.0
Soyuz-U,Resurs-F8,,LEO,Reconnaissance,1 September,,,1,288,1990.0,8.0,3.0,9.0
Delta II 6925,Marco Polo 2,,GEO,Communications,In orbit,,,1,68,1990.0,8.0,5.0,0.0
Tsyklon-2,Kosmos 2096 (US-P),,LEO,Naval Reconnaissance,30 August 1992,,,1,340,1990.0,8.0,3.0,16.0
Molniya-M/2BL,Kosmos 2097 (Oko),,Molniya,Early warning,In orbit,,,1,194,1990.0,8.0,1.0,7.0
H-1,BS 3A,,GEO,Communications,In orbit,,,1,128,1990.0,8.0,1.0,9.0
Kosmos-3M,Kosmos 2098 (Taifun-1),,LEO,Earth Science,In orbit,,,1,141,1990.0,8.0,1.0,15.0
Ariane 4 (44LP),Skynet 4C,MoD,GEO,Communications,In orbit,,,1,11,1990.0,8.0,3.0,22.0
Ariane 4 (44LP),Eutelsat 2F1,Eutelsat,GEO,Communications,In orbit,,,1,11,1990.0,8.0,3.0,22.0
Soyuz-U,Kosmos 2099 (Zenit-8),,LEO,Reconnaissance,14 September,,,1,288,1990.0,8.0,4.0,8.0
Long March 4A,Feng Yun 1B,Final flight of Long March 4A,Sun-synchronous,Weather satellite,In orbit,Final flight,,1,172,1990.0,9.0,0.0,0.0
Long March 4A,Qi Qiu Weixing 1,Final flight of Long March 4A,Final flight of Long March 4A,Atmospheric research,11 March 1991,Final flight,,0,172,1990.0,9.0,0.0,0.0
Long March 4A,Qi Qiu Weixing 2,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,24 July 1991,Final flight,,0,172,1990.0,9.0,0.0,0.0
Long March 4A,,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight,,0,172,1990.0,9.0,0.0,0.0
Soyuz-U,Resurs-F9,,LEO,Reconnaissance,21 September,,,1,288,1990.0,9.0,4.0,11.0
Kosmos-3M,Kosmos 2100 (Parus),,LEO,Navigation,In orbit,,,1,141,1990.0,9.0,4.0,5.0
Molniya-M/ML,Molniya 3-54L,,Molniya,Communications,In orbit,,,1,197,1990.0,9.0,3.0,20.0
Soyuz-U2,Progress M-5,,LEO (Mir),Logistics,28 November 11:04,,,1,292,1990.0,9.0,3.0,10.0
Tsyklon-3,Meteor-2-20,,LEO,Earth Science,In orbit,,,1,341,1990.0,9.0,4.0,7.0
Soyuz-U2,Kosmos 2101 (Orlets-1),,LEO,Reconnaissance,30 November,,,1,292,1990.0,10.0,0.0,11.0
Delta II 6925,GPS II-9 (USA-64),US Air Force,MEO,Navigation,In orbit,,,1,68,1990.0,10.0,0.0,21.0
Zenit-2,Tselina-2,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,Intended: LEO,ELINT,T+5 seconds,,,0,349,,,,
Zenit-2,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,which was not rebuilt.,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,,,0,349,,,,
Zenit-2,which was not rebuilt.,which was not rebuilt.,which was not rebuilt.,which was not rebuilt.,which was not rebuilt.,,,0,349,,,,
Long March 2C,FSW-1-3,,LEO,Reconnaissance,13 October 03:59,,,1,151,1990.0,10.0,4.0,6.0
Space Shuttle Discovery,STS-41,NASA,LEO,Satellite deployment,10 October,,,1,300,1990.0,10.0,5.0,11.0
Space Shuttle Discovery,/Ulysses,ESA/NASA,Heliocentric,Solar probe,In orbit,,,0,300,1990.0,10.0,5.0,11.0
Space Shuttle Discovery,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,,,0,300,1990.0,10.0,5.0,11.0
Ariane 4 (44L),SBS 6,SBS,GEO,Communications,In orbit,,,1,10,1990.0,10.0,4.0,22.0
Ariane 4 (44L),Galaxy 6,PanAmSat,GEO,Communications,In orbit,,,1,10,1990.0,10.0,4.0,22.0
Soyuz-U,Kosmos 2102 (Yantar-4K2),,LEO,Reconnaissance,12 December,,,1,288,1990.0,10.0,1.0,19.0
Delta II 6925,Inmarsat 2F1,Inmarsat,GEO,Communications,In orbit,,,1,68,1990.0,10.0,1.0,23.0
Proton-K/DM-2,Gorizont 21,,GEO,Communications,In orbit,,,1,230,1990.0,11.0,5.0,14.0
Titan IVA (402)/IUS,USA-65 (DSP-15),US Air Force,GEO,Early warning,In orbit,,,1,329,1990.0,11.0,1.0,0.0
Tsyklon-2,Kosmos 2103 (US-P),,LEO,Naval Reconnaissance,3 April 1991,,,1,340,1990.0,11.0,2.0,6.0
Space Shuttle Atlantis,STS-38,NASA,LEO,Satellite deployment,20 November 21:42,,,1,294,1990.0,11.0,3.0,23.0
Space Shuttle Atlantis,USA-67 (SDS-2),NRO,GEO,Communications,In orbit,,,1,294,1990.0,11.0,3.0,23.0
Space Shuttle Atlantis,Prowler,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Satellite inspection Technology,Crewed orbital flight with 5 astronauts,,,0,294,1990.0,11.0,3.0,23.0
Space Shuttle Atlantis,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,,,0,294,1990.0,11.0,3.0,23.0
Soyuz-U,Kosmos 2104 (Zenit-8),,LEO,Reconnaissance,4 December,,,1,288,1990.0,11.0,4.0,16.0
Molniya-M/2BL,Kosmos 2105 (Oko),,Molniya,Early warning,16 January 2008,,,1,194,1990.0,11.0,1.0,2.0
Ariane 4 (42P),Satcom C1,GE Americom,GEO,Communications,In orbit,,,1,9,1990.0,11.0,1.0,23.0
