DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year
,Commercial Titan III,Intelsat 603,Intelsat,Geosynchronous,Communications,In orbit,Partial launch failure,1990
,Commercial Titan III,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,1990
,Delta II 6925,GPS II-7 (USA-54),US Air Force,Medium Earth,Navigation,In orbit,Spacecraft failure,1990
,Delta II 6925,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,1990
,Pegasus,Pegsat,NASA,Low Earth,Space Physics,14 November 1998,Successful,1990
,Pegasus,USA-55 (SECS),DoD,Low Earth,Communications,In orbit,Operational,1990
,Long March 3,AsiaSat 1,AsiaSat,Geosynchronous,Communications,In orbit,Operational,1990
,Long March 3,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,1990
,Atlas-E/Altair-3A,USA-56 (POGS),DoD,Low Earth,Technology demonstration,In orbit,Successful,1990
,Atlas-E/Altair-3A,USA-57 (TEX),DoD,Low Earth,Technology demonstration,In orbit,Successful,1990
,Atlas-E/Altair-3A,USA-58 (SCE),DoD,Low Earth,Technology demonstration,In orbit,Successful,1990
,Soyuz-U,/Foton 6,CNES,Low Earth,Microgravity research,27 April 06:15,Successful,1990
,Delta II 6925-8,Palapa B2R,Telkom Indonesia,Geosynchronous,Communications,In orbit,Operational,1990
,Delta II 6925-8,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,1990
,Space Shuttle Discovery,STS-31,NASA,Low Earth,HST deployment,29 April 13:49,Successful,1990
,Space Shuttle Discovery,/Hubble Space Telescope,NASA/ESA,Low Earth,Space Telescope,In orbit,Operational,1990
,Soyuz-U2,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,1990
,Scout G-1,MacSat 1,DARPA,Low Earth,Communications,In orbit,Successful,1990
,Scout G-1,MacSat 2,DARPA,Low Earth,Communications,In orbit,Successful,1990
,Zenit-2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,1990
,Titan IVA (405),USA-59 (SLDCOM),US Air Force,Low Earth,Communications,In orbit,Operational,1990
,Titan IVA (405),USA-60 (NOSS-2),US Navy,Low Earth,Naval Reconnaissance,In orbit,Operational,1990
,Titan IVA (405),USA-61 (NOSS-2),US Navy,Low Earth,Naval Reconnaissance,In orbit,Operational,1990
,Titan IVA (405),USA-62 (NOSS-2),US Navy,Low Earth,Naval Reconnaissance,In orbit,Operational,1990
,Delta 4925,INSAT 1D,ISRO,Geosynchronous,Communications,In orbit,Successful,1990
,Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,1990
,Molniya-M/2BL,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,1990
,Commercial Titan III,Intelsat 604,Intelsat,Geosynchronous,Communications,In orbit,Successful,1990
,Soyuz-U2,/Gamma,CNES,Low Earth,Astronomy,28 February 1992,Successful,1990
,Long March 2E,Badr-1,SUPARCO,Low Earth,Communications,8 December,Successful,1990
,Ariane 4 (44L),TDF-2,Telediffusion,Geosynchronous,Communications,In orbit,Successful,1990
,Atlas I,CRRES,US Air Force,Geosynchronous transfer,Space Physics,In orbit,Successful,1990
,Delta II 6925,GPS II-8 (USA-63),US Air Force,Medium Earth,Navigation,In orbit,Operational,1990
,Ariane 4 (44LP),Skynet 4C,MoD,Geosynchronous,Communications,In orbit,Operational,1990
,Ariane 4 (44LP),Eutelsat 2F1,Eutelsat,Geosynchronous,Communications,In orbit,Successful,1990
,Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,1990
,Delta II 6925,GPS II-9 (USA-64),US Air Force,Medium Earth,Navigation,In orbit,Successful,1990
,Zenit-2,"First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.",1990
,Space Shuttle Discovery,STS-41,NASA,Low Earth,Satellite deployment,10 October,Successful,1990
,Space Shuttle Discovery,/Ulysses,ESA/NASA,Heliocentric,Solar probe,In orbit,Successful,1990
,Ariane 4 (44L),SBS 6,SBS,Geosynchronous,Communications,In orbit,Successful,1990
,Ariane 4 (44L),Galaxy 6,PanAmSat,Geosynchronous,Communications,In orbit,Successful,1990
,Delta II 6925,Inmarsat 2F1,Inmarsat,Geosynchronous,Communications,In orbit,Operational,1990
,Titan IVA (402)/IUS,USA-65 (DSP-15),US Air Force,Geosynchronous,Early warning,In orbit,Operational,1990
,Space Shuttle Atlantis,STS-38,NASA,Low Earth,Satellite deployment,20 November 21:42,Successful,1990
,Space Shuttle Atlantis,USA-67 (SDS-2),NRO,Geosynchronous,Communications,In orbit,Operational,1990
,Space Shuttle Atlantis,Prowler,NRO,Geosynchronous,Satellite inspection Technology,In orbit,Successful,1990
,Ariane 4 (42P),Satcom C1,GE Americom,Geosynchronous,Communications,In orbit,Successful,1990
,Ariane 4 (42P),GStar 4,Spacenet,Geosynchronous,Communications,In orbit,Successful,1990
,Delta II 7925,GPS IIA-1 (USA-66),US Air Force,Medium Earth,Navigation,In orbit,Successful,1990
,Atlas-E/Star-37,USA-68 (DMSP-5D2 F10),US Air Force,Sun-synchronous,Weather satellite,In orbit,Successful,1990
,Space Shuttle Columbia,STS-35,NASA,Low Earth,Astronomy,10 December 23:54,Successful,1990
,Soyuz-U,Kosmos 2175 (Yantar-4K2),VKS,Low Earth,Reconnaissance,20 March,Successful,1992
,Soyuz-U,First Russian (post Soviet) satellite launch,First Russian (post Soviet) satellite launch,First Russian (post Soviet) satellite launch,First Russian (post Soviet) satellite launch,First Russian (post Soviet) satellite launch,First Russian (post Soviet) satellite launch,1992
,Space Shuttle Discovery,STS-42,NASA,Low Earth,Microgravity,30 January 16:07:17,Successful,1992
,Space Shuttle Discovery,Spacelab Long Module 2,ESA/NASA,Low Earth (Discovery),Spacelab IML-1,30 January 16:07:17,Successful,1992
,Molniya-M/2BL,Kosmos 2176 (Oko),VKS,Molniya,Missile defence,17 January 2012,Successful,1992
,Soyuz-U2,Progress M-11,Roskosmos,Low Earth (Mir),Logistics,13 March,Successful,1992
,Proton-K/DM-2,Kosmos 2177 (GLONASS),VKS,Medium Earth,Navigation,In orbit,Successful,1992
,Proton-K/DM-2,Kosmos 2178 (GLONASS),VKS,Medium Earth,Navigation,In orbit,Successful,1992
,Proton-K/DM-2,Kosmos 2179 (GLONASS),VKS,Medium Earth,Navigation,In orbit,Successful,1992
,Zenit-2,Tselina-2 #10,MO RF,Intended: Low Earth,ELINT,5 February,Launch failure,1992
,Zenit-2,"Second stage overheated, causing malfunction","Second stage overheated, causing malfunction","Second stage overheated, causing malfunction","Second stage overheated, causing malfunction","Second stage overheated, causing malfunction","Second stage overheated, causing malfunction",1992
,Atlas II,USA-78 (DSCS IIIB-14),US Air Force,Geostationary,Communications,In orbit,Operational,1992
,H-I,JERS-1,NASDA,Sun-synchronous,Earth observation,3 December 2001,Successful,1992
,H-I,Final flight of H-I,Final flight of H-I,Final flight of H-I,Final flight of H-I,Final flight of H-I,Final flight of H-I,1992
,Kosmos-3M,Kosmos 2180 (Parus),MO RF,Low Earth,Navigation,In orbit,Successful,1992
,Delta II 7925,USA-79 (GPS IIA-3),US Air Force,Medium Earth,Navigation,In orbit,Operational,1992
,Ariane 4 44L,Superbird-B1,SCC,Geostationary,Communications,In orbit,Operational,1992
,Ariane 4 44L,Arabsat-1C,ARABSAT,Current: Graveyard Operational: Geostationary,Communications,In orbit,Successful,1992
,Ariane 4 44L,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,1992
,Molniya-M/ML,Molniya-1 #83,MOM,Molniya,Communications,1 July 2007,Successful,1992
,Kosmos-3M,Kosmos 2181 (Tsikada),MO RF,Low Earth,Navigation,In orbit,Successful,1992
,Atlas I,Galaxy 5,Hughes,Geosynchronous,Communications,In orbit,Operational,1992
,Soyuz-U2,Soyuz TM-14,Roskosmos,Low Earth (Mir),Mir EO-11,10 August,Successful,1992
,Space Shuttle Atlantis,STS-45,NASA,Low Earth,Microgravity,2 April,Successful,1992
,Space Shuttle Atlantis,Spacelab Double Pallet,NASA,Low Earth (Atlantis),Spacelab ATLAS-1,2 April,Successful,1992
,Soyuz-U,Kosmos 2182 (Yantar-4K2),MO RF,Low Earth,Reconnaissance,30 May,Successful,1992
,Proton-K/DM-2,Gorizont 25,YeSSS,Geostationary,Communications,In orbit,Successful,1992
,Soyuz-U,Kosmos 2183 (Yantar-4K2),MO RF,Low Earth,Reconnaissance,16 February 1993,Successful,1992
,Delta II 7925,USA-80 (GPS IIA-4),US Air Force,Medium Earth,Navigation,In orbit,Successful,1992
,Kosmos-3M,Kosmos 2184 (Parus),MO RF,Low Earth,Navigation,In orbit,Successful,1992
,Ariane 4 44L,Inmarsat-2F4,Inmarsat,Geostationary,Communications,In orbit,Operational,1992
,Ariane 4 44L,Télécom 2B,France Télécom,Geostationary,Communications,In orbit,Operational,1992
,Soyuz-U2,Progress M-12,Roskosmos,Low Earth (Mir),Logistics,27 June,Successful,1992
,Titan 23G,USA-81 (Bernie/Singleton),NRO,Low Earth (Polar),ELINT,In orbit,Operational,1992
,Soyuz-U,Resurs-F #14,MO RF,Low Earth,Remote sensing,29 May,Successful,1992
,Soyuz-U,Kosmos 2185 (Yantar-1KFT),MO RF,Low Earth,Reconnaissance,11 June,Successful,1992
,Space Shuttle Endeavour,STS-49,NASA,Low Earth,Satellite reboost,16 May,Successful,1992
,Delta II 7925-8,Palapa-B4,Telkom,Geostationary,Communications,In orbit,Successful,1992
,ASLV,SROSS-C,ISRO,Low Earth,Magnetosphere,14 July,Partial failure,1992
,ASLV,Placed into incorrect orbit due to fifth stage spin-up failure,Placed into incorrect orbit due to fifth stage spin-up failure,Placed into incorrect orbit due to fifth stage spin-up failure,Placed into incorrect orbit due to fifth stage spin-up failure,Placed into incorrect orbit due to fifth stage spin-up failure,Placed into incorrect orbit due to fifth stage spin-up failure,1992
,Soyuz-U,Kosmos 2186 (Yantar-4K2),MO RF,Low Earth,Reconnaissance,24 July,Successful,1992
,Kosmos-3M,Kosmos 2187 (Strela-1M),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Kosmos-3M,Kosmos 2188 (Strela-1M),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Kosmos-3M,Kosmos 2189 (Strela-1M),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Kosmos-3M,Kosmos 2190 (Strela-1M),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Kosmos-3M,Kosmos 2191 (Strela 1M),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Kosmos-3M,Kosmos 2192 (Strela-1M),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Kosmos-3M,Kosmos 2193 (Strela-1M),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Kosmos-3M,Kosmos 2194 (Strela-1M),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Delta II 6920-10,EUVE,NASA,Low Earth,Ultraviolet astronomy,31 January 2002,Successful,1992
,Delta II 6920-10,Final flight of Delta II 6920,Final flight of Delta II 6920,Final flight of Delta II 6920,Final flight of Delta II 6920,Final flight of Delta II 6920,Final flight of Delta II 6920,1992
,Atlas IIA,Intelsat K,Intelsat,Geostationary,Communications,In orbit,Successful,1992
,Soyuz-U,Resurs-F #15,MO RF,Low Earth,Remote sensing,9 July,Successful,1992
,Space Shuttle Columbia,STS-50,NASA,Low Earth,Microgravity,9 July,Successful,1992
,Space Shuttle Columbia,Spacelab Long Module 1,NASA,Low Earth (Columbia),Spacelab USML-1,9 July,Successful,1992
,Space Shuttle Columbia,EDO Pallet,NASA,Low Earth (Columbia),Cryogenic mission extension pallet,9 July,Successful,1992
,Soyuz-U2,Progress M-13,Roskosmos,Low Earth (Mir),Logistics,24 July,Successful,1992
,Kosmos-3M,Kosmos 2195 (Parus),MO RF,Low Earth,Navigation,In orbit,Successful,1992
,Atlas II/IABS,USA-82 (DSCS IIIB-12),US Air Force,Geostationary,Communications,In orbit,Operational,1992
,Scout G-1,SAMPEX (SMEX-1/Explorer 68),NASA,Low Earth,Solar,13 November 2012,Successful,1992
,Delta II 7925,USA-83 (GPS IIA-5),US Air Force,Medium Earth,Navigation,In orbit,Operational,1992
,Molniya-M/2BL,Kosmos 2196 (Oko),MO RF,Molniya,Missile defence,In orbit,Successful,1992
,Ariane 4 44L,INSAT-2A,ISRO,Geostationary,Communications,In orbit,Successful,1992
,Ariane 4 44L,Eutelsat 2F4,Eutelsat,Geostationary,Communications,In orbit,Successful,1992
,Ariane 4 44L,Eutelsat retired in 2003,Eutelsat retired in 2003,Eutelsat retired in 2003,Eutelsat retired in 2003,Eutelsat retired in 2003,Eutelsat retired in 2003,1992
,Tsyklon-3,Kosmos 2197 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2198 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2199 (Gonets-D),Roskosmos,Low Earth,Communications,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2200 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2201 (Gonets-D),Roskosmos,Low Earth,Communications,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2202 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Proton-K/DM-2,Gorizont 26,YeSSS,Geostationary,Communications,In orbit,Successful,1992
,Delta II 6925,GEOTAIL,ISAS/NASA,High Earth,Magnetosphere,In orbit,Successful,1992
,Delta II 6925,DUVE,NASA/California,Low Earth,Ultraviolet astronomy,16 March 2003,Successful,1992
,Delta II 6925,Final flight of Delta II 6000-series,Final flight of Delta II 6000-series,Final flight of Delta II 6000-series,Final flight of Delta II 6000-series,Final flight of Delta II 6000-series,Final flight of Delta II 6000-series,1992
,Soyuz-U,Kosmos 2203 (Yantar-4K2),MO RF,Low Earth,Reconnaissance,22 September,Successful,1992
,Soyuz-U2,Soyuz TM-15,Roskosmos,Low Earth (Mir),Mir EO-12,1 February 1993,Successful,1992
,Proton-K/DM-2,Kosmos 2204 (GLONASS),VKS,Medium Earth,Navigation,In orbit,Successful,1992
,Proton-K/DM-2,Kosmos 2205 (GLONASS),VKS,Medium Earth,Navigation,In orbit,Successful,1992
,Proton-K/DM-2,Kosmos 2206 (GLONASS),VKS,Medium Earth,Navigation,In orbit,Successful,1992
,Soyuz-U,Kosmos 2207 (Zenit-8),MO RF,Low Earth,Reconnaissance,13 August,Successful,1992
,Space Shuttle Atlantis,STS-46,NASA,Low Earth,Satellite deployment,8 August,Successful,1992
,Space Shuttle Atlantis,TSS-1,ASI,Low Earth (Atlantis),Technology,8 August,Failure,1992
,Space Shuttle Atlantis,EURECA,ESA,Low Earth,Microgravity/Solar,1 July 1993,Successful,1992
,Molniya-M/ML,Molniya-1 #84,MOM,Molniya,Communications,4 April 2008,Successful,1992
,Long March 2D,FSW-2 #1,CASC,Low Earth,Reconnaissance,1 September,Successful,1992
,Ariane 4 42P,TOPEX/Poseidon,CNES/NASA,Low Earth,Oceanography,In orbit,Successful,1992
,Ariane 4 42P,S80/T,CNES,Low Earth,Technology,In orbit,Successful,1992
,Ariane 4 42P,KITSAT-1 (OSCAR-23),KAIST,Low Earth,Communications,In orbit,Successful,1992
,Ariane 4 42P,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,1992
,Kosmos-3M,Kosmos 2208 (Strela-2M),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Long March 2E,Optus B1,Optus,Current: Graveyard Operational: Geostationary,Communications,In orbit,Successful,1992
,Long March 2E,Retired and moved to graveyard orbit in May 2008,Retired and moved to graveyard orbit in May 2008,Retired and moved to graveyard orbit in May 2008,Retired and moved to graveyard orbit in May 2008,Retired and moved to graveyard orbit in May 2008,Retired and moved to graveyard orbit in May 2008,1992
,Soyuz-U2,Progress M-14,Roskosmos,Low Earth (Mir),Logistics,21 October,Successful,1992
,Soyuz-U,Resurs-F #16,MO RF,Low Earth,Remote sensing,4 September,Successful,1992
,Soyuz-U,Pion-Germes 1,MOM,Low Earth,Remote sensing,25 September,Successful,1992
,Soyuz-U,Pion-Germes 2,MOM,Low Earth,Remote sensing,24 September,Successful,1992
,Atlas I,Galaxy 1R,Hughes,Intended: Geosynchronous,Communications,22 August,Launch failure,1992
,Atlas I,"Upper stage turbopump failed to start, destroyed by range safety","Upper stage turbopump failed to start, destroyed by range safety","Upper stage turbopump failed to start, destroyed by range safety","Upper stage turbopump failed to start, destroyed by range safety","Upper stage turbopump failed to start, destroyed by range safety","Upper stage turbopump failed to start, destroyed by range safety",1992
,Delta II 7925,Satcom C4,GE Americom,Geostationary,Communications,In orbit,Successful,1992
,Delta II 7925,USA-84 (GPS IIA-6),US Air Force,Medium Earth,Navigation,In orbit,Operational,1992
,Proton-K/DM-2,Kosmos 2209 (Prognoz),MO RF,Geostationary,Missile defence,In orbit,Operational,1992
,Ariane 4 44LP,Hispasat 1A,Hispasat,Geostationary,Communications,In orbit,Successful,1992
,Ariane 4 44LP,Satcom C3,GE Americom,Geostationary,Communications,In orbit,Operational,1992
,Ariane 4 44LP,Hispasat retired in 2003,Hispasat retired in 2003,Hispasat retired in 2003,Hispasat retired in 2003,Hispasat retired in 2003,Hispasat retired in 2003,1992
,Space Shuttle Endeavour,STS-47,NASA,Low Earth,Microgravity,20 September,Successful,1992
,Space Shuttle Endeavour,Spacelab Long Module 2,NASDA/NASA,Low Earth (Endeavour),Spacelab-J,20 September,Successful,1992
,Soyuz-U,Kosmos 2210 (Yantar-4K2),MO RF,Low Earth,Reconnaissance,20 November,Successful,1992
,Commercial Titan III/TOS,Mars Observer,NASA,Intended: Areocentric Achieved: Heliocentric,Mars orbiter,Unknown,Partial failure,1992
,Long March 2C,FSW-1 #4,CASC,Low Earth,Reconnaissance,13 October,Successful,1992
,Long March 2C,Freja,SSC,Low Earth,Magnetosphere,In orbit,Successful,1992
,Long March 2C,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,1992
,Soyuz-U,Foton-8,Roskosmos,Low Earth,Microgravity,24 October,Successful,1992
,Delta II 7925,DFS-3,Bundespost,Current: Graveyard Operational: Geostationary,Communications,In orbit,Successful,1992
,Delta II 7925,Retired in February 2003,Retired in February 2003,Retired in February 2003,Retired in February 2003,Retired in February 2003,Retired in February 2003,1992
,Molniya-M/ML,Molniya-3 #50L,MOM,Molniya,Communications,In orbit,Operational,1992
,Tsyklon-3,Kosmos 2211 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2212 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2213 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1992
