DateTimeYear,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite,Success
14 February 16:15:01 (UTC)[21][18]-1990,Delta II 6920-8[18],RME (USA-52)[18],DoD,LEO,Technology demonstration,24 May 1992[23],Successful,,,1
15 February 07:52-1990,Proton-K/DM-2,Raduga 25,nan,GEO,Communications,In orbit,Operational,,,1
22 February 23:17-1990,Ariane 4 (44L),Superbird B,SCC,Intended: GEO transfer,Communications,T+ seconds,Launch failure,,,0
22 February 23:17-1990,Ariane 4 (44L),BS 2X,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,,,0
22 February 23:17-1990,Ariane 4 (44L),Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,,,0
27 February 20:59-1990,Kosmos-3M,Nadezhda 2,nan,LEO,Navigation,In orbit,Operational,,,1
28 February 00:55-1990,Tsyklon-3,Okean 2,nan,LEO,Earth science,In orbit,Operational,,,1
28 February 07:50-1990,Space Shuttle Atlantis,STS-36,NASA,LEO,Satellite deployment,4 March 03:08,Successful,,,1
28 February 07:50-1990,Space Shuttle Atlantis,USA-53 (Misty-1),NRO,Crewed orbital flight with 5 astronauts,Reconnaissance,In orbit,Operational,,,1
28 February 07:50-1990,Space Shuttle Atlantis,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,,,0
28 February 23:10-1990,Soyuz-U2,Progress M-3,nan,LEO (Mir),Logistics,28 April 00:52,Successful,,,1
14 March 11:52-1990,Commercial Titan III,Intelsat 603,Intelsat,GEO,Communications,In orbit,Partial launch failure,,,0
14 March 11:52-1990,Commercial Titan III,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a LEO orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,,,0
14 March 15:27-1990,Tsyklon-2,Kosmos 2060 (US-P),nan,LEO,Naval Reconnaissance,1 September 1991,Successful,,,1
20 March 00:25-1990,Kosmos-3M,Kosmos 2061 (Parus),nan,LEO,Navigation,In orbit,Successful,,,1
22 March 07:20-1990,Soyuz-U,Kosmos 2062 (Zenit-8),nan,LEO,Reconnaissance,28 April,Successful,,,1
26 March 02:45-1990,Delta II 6925,GPS II-7 (USA-54),US Air Force,MEO,Navigation,In orbit,Spacecraft failure,,,0
26 March 02:45-1990,Delta II 6925,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,,,0
27 March 16:40-1990,Molniya-M/2BL,Kosmos 2063 (Oko),nan,Molniya,Early warning,In orbit,Operational,,,1
3 April 12:02-1990,Shavit,Ofeq-2,nan,LEO (retrograde),Reconnaissance,In orbit,Operational,,,1
3 April-1990,Soyuz-U,Yantar-4K2,nan,Intended: LEO,Reconnaissance,3 April,Launch failure,,,0
5 April 19:10-1990,Pegasus,Pegsat,NASA,LEO,Space Physics,14 November 1998,Successful,,,1
5 April 19:10-1990,Pegasus,USA-55 (SECS),DoD,LEO,Communications,In orbit,Operational,,,1
6 April 03:13-1990,Kosmos-3M,Kosmos 2064 (Strela-1M),nan,LEO,Communications,In orbit,Operational,,,1
6 April 03:13-1990,Kosmos-3M,Kosmos 2065 (Strela-1M),nan,LEO,Communications,In orbit,Operational,,,1
6 April 03:13-1990,Kosmos-3M,Kosmos 2066 (Strela-1M),nan,LEO,Communications,In orbit,Operational,,,1
6 April 03:13-1990,Kosmos-3M,Kosmos 2067 (Strela-1M),nan,LEO,Communications,In orbit,Operational,,,1
6 April 03:13-1990,Kosmos-3M,Kosmos 2068 (Strela-1M),nan,LEO,Communications,In orbit,Operational,,,1
6 April 03:13-1990,Kosmos-3M,Kosmos 2069 (Strela-1M),nan,LEO,Communications,In orbit,Operational,,,1
6 April 03:13-1990,Kosmos-3M,Kosmos 2070 (Strela-1M),nan,LEO,Communications,In orbit,Operational,,,1
6 April 03:13-1990,Kosmos-3M,Kosmos 2071 (Strela-1M),nan,LEO,Communications,In orbit,Operational,,,1
7 April 13:30-1990,Long March 3,AsiaSat 1,AsiaSat,GEO,Communications,In orbit,Operational,,,1
7 April 13:30-1990,Long March 3,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,,,0
11 April 15:00-1990,Atlas-E/Altair-3A,USA-56 (POGS),DoD,LEO,Technology demonstration,In orbit,Successful,,,1
11 April 15:00-1990,Atlas-E/Altair-3A,USA-57 (TEX),DoD,LEO,Technology demonstration,In orbit,Successful,,,1
11 April 15:00-1990,Atlas-E/Altair-3A,USA-58 (SCE),DoD,LEO,Technology demonstration,In orbit,Successful,,,1
11 April 17:00-1990,Soyuz-U,/Foton 6,CNES,LEO,Microgravity research,27 April 06:15,Successful,,,1
13 April 18:53-1990,Soyuz-U,Kosmos 2072 (Yantar-4KS1),nan,LEO,Reconnaissance,22 November,Successful,,,1
13 April 22:28-1990,Delta II 6925-8,Palapa B2R,Telkom Indonesia,GEO,Communications,In orbit,Operational,,,1
13 April 22:28-1990,Delta II 6925-8,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,,,0
17 April 08:00-1990,Soyuz-U,Kosmos 2073 (Zenit-8),nan,LEO,Reconnaissance,28 April,Successful,,,1
20 April 18:41-1990,Kosmos-3M,Kosmos 2074 (Parus),nan,LEO,Navigation,In orbit,Operational,,,1
24 April 12:33-1990,Space Shuttle Discovery,STS-31,NASA,LEO,HST deployment,29 April 13:49,Successful,,,1
24 April 12:33-1990,Space Shuttle Discovery,/Hubble Space Telescope,NASA/ESA,Crewed orbital flight with 5 astronauts,Space Telescope,In orbit,Operational,,,1
24 April 12:33-1990,Space Shuttle Discovery,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,,,0
25 April 13:00-1990,Kosmos-3M,Kosmos 2075 (Taifun-2),nan,LEO,Target,20 February 1992,Successful,,,1
26 April 01:37-1990,Molniya-M/ML,Molniya 1-77,nan,Molniya,Communications,25 February 2005,Successful,,,1
28 April 11:37-1990,Molniya-M/2BL,Kosmos 2076 (Oko),nan,Molniya,Early warning,In orbit,Operational,,,1
5 May 20:44-1990,Soyuz-U2,Progress 42,Final flight of baseline Progress spacecraft,LEO (Mir),Logistics,27 May 12:27,Successful,Final flight,,1
5 May 20:44-1990,Soyuz-U2,,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight,,0
7 May 18:39-1990,Soyuz-U,Kosmos 2077 (Yantar-4K2),nan,LEO,Reconnaissance,4 July,Successful,,,1
9 May 17:50-1990,Scout G-1,MacSat 1,DARPA,LEO,Communications,In orbit,Successful,,,1
9 May 17:50-1990,Scout G-1,MacSat 2,DARPA,LEO,Communications,In orbit,Successful,,,1
15 May 09:55-1990,Soyuz-U,Kosmos 2078 (Yantar-1KFT),nan,LEO,Reconnaissance,28 June,Successful,,,1
19 May 08:32-1990,Proton-K/DM-2,Kosmos 2079 (GLONASS),nan,MEO,Navigation,In orbit,Operational,,,1
19 May 08:32-1990,Proton-K/DM-2,Kosmos 2080 (GLONASS),nan,MEO,Navigation,In orbit,Operational,,,1
19 May 08:32-1990,Proton-K/DM-2,Kosmos 2081 (GLONASS),nan,MEO,Navigation,In orbit,Operational,,,1
22 May 05:14-1990,Zenit-2,Kosmos 2082 (Tselina-2),First launch from Site 45/2,LEO,ELINT,In orbit,Operational,,,1
22 May 05:14-1990,Zenit-2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,,,0
29 May 07:19-1990,Soyuz-U,Resurs-F6,nan,LEO,Reconnaissance,14 June,Successful,,,1
31 May 10:33-1990,Proton-K,Kristall,nan,LEO (Mir),Mir module,23 March 2001 05:50,Successful,,,1
1 June 21:48-1990,Delta II 6920-10,ROSAT,nan,LEO,Astronomy,23 October 2011,Successful,,,1
8 June 05:21-1990,Titan IVA (405),USA-59 (SLDCOM),US Air Force,LEO,Communications,In orbit,Operational,,,1
8 June 05:21-1990,Titan IVA (405),USA-60 (NOSS-2),US Navy,LEO,Naval Reconnaissance,In orbit,Operational,,,1
8 June 05:21-1990,Titan IVA (405),USA-61 (NOSS-2),US Navy,LEO,Naval Reconnaissance,In orbit,Operational,,,1
8 June 05:21-1990,Titan IVA (405),USA-62 (NOSS-2),US Navy,LEO,Naval Reconnaissance,In orbit,Operational,,,1
12 June 05:52-1990,Delta 4925,INSAT 1D,ISRO,GEO,Communications,In orbit,Successful,Final flight,,1
12 June 05:52-1990,Delta 4925,,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight,,0
13 June 01:07-1990,Molniya-M/ML,Molniya 3-47L,nan,Molniya,Communications,26 February 2006,Successful,,,1
19 June 08:45-1990,Soyuz-U,Kosmos 2083 (Zenit-8),nan,LEO,Reconnaissance,3 July 1990,Successful,,,1
20 June 23:36-1990,Proton-K/DM,Gorizont 20,nan,GEO,Communications,In orbit,Successful,,,1
21 June 20:45-1990,Molniya-M/2BL,Kosmos 2084 (Oko),Placed in an incorrect orbit and the satellite did not communicate with the ground.,Intended: Molniya Achieved: LEO,Early warning,In orbit,Partial Failure,,,0
21 June 20:45-1990,Molniya-M/2BL,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,,,0
23 June 11:19-1990,Commercial Titan III,Intelsat 604,Intelsat,GEO,Communications,In orbit,Successful,,,1
27 June 22:30-1990,Tsyklon-3,Meteor-2-19,nan,LEO,Earth Sciences,In orbit,Successful,,,1
3 July-1990,Soyuz-U,Yantar-4K2,nan,Intended: LEO,Reconnaissance,3 July,Launch failure,,,0
11 July 10:00-1990,Soyuz-U2,/Gamma,CNES,LEO,Astronomy,28 February 1992,Successful,,,1
16 July 00:40-1990,Long March 2E,Badr-1,SUPARCO,LEO,Communications,8 December,Successful,,,1
16 July 00:40-1990,Long March 2E,HS-601,SUPARCO,LEO,Boilerplate spacecraft,In orbit,Successful,,,1
17 July 09:29-1990,Soyuz-U,Resurs-F7,nan,LEO,Reconnaissance,16 August,Successful,,,1
18 July 21:46-1990,Proton-K/DM-2,Kosmos 2085 (Geizer 17L),nan,GEO,Communications,In orbit,Operational,,,1
20 July 08:40-1990,Soyuz-U,Kosmos 2086 (Zenit-8),nan,LEO,Reconnaissance,3 August,Successful,,,1
24 July 22:25-1990,Ariane 4 (44L),TDF-2,Telediffusion,GEO,Communications,In orbit,Successful,,,1
24 July 22:25-1990,Ariane 4 (44L),DFS-2,Telediffusion,GEO,Communications,In orbit,Successful,,,1
25 July 18:13-1990,Molniya-M/2BL,Kosmos 2087 (Oko),nan,Molniya,Early warning,In orbit,Operational,,,1
25 July 19:21-1990,Atlas I,CRRES,US Air Force,GEO transfer,Space Physics,In orbit,Successful,,,1
30 July 00:06-1990,Tsyklon-3,Kosmos 2088 (Geo-IK),nan,LEO,Earth Science,In orbit,Successful,,,1
1 August 09:32-1990,Soyuz-U2,Soyuz TM-10,Crewed orbital flight with 2 cosmonauts,LEO (Mir),Mir EO-7,10 December 06:08,Successful,,,1
1 August 09:32-1990,Soyuz-U2,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,,,0
2 August 05:39-1990,Delta II 6925,GPS II-8 (USA-63),US Air Force,MEO,Navigation,In orbit,Operational,,,1
3 August 19:45-1990,Soyuz-U,Kosmos 2089 (Yantar-4K2),nan,LEO,Reconnaissance,1 October,Successful,,,1
8 August 04:15-1990,Tsyklon-3,Kosmos 2090 (Strela-3),nan,LEO,Communications,In orbit,Operational,,,1
8 August 04:15-1990,Tsyklon-3,Kosmos 2091 (Strela-3),nan,LEO,Communications,In orbit,Operational,,,1
8 August 04:15-1990,Tsyklon-3,Kosmos 2092 (Strela-3),nan,LEO,Communications,In orbit,Operational,,,1
8 August 04:15-1990,Tsyklon-3,Kosmos 2093 (Strela-3),nan,LEO,Communications,In orbit,Operational,,,1
8 August 04:15-1990,Tsyklon-3,Kosmos 2094 (Strela-3),nan,LEO,Communications,In orbit,Operational,,,1
8 August 04:15-1990,Tsyklon-3,Kosmos 2095 (Strela-3),nan,LEO,Communications,In orbit,Operational,,,1
9 August 20:18-1990,Proton-K/DM-2,Ekran-M,nan,Intended: GEO,Communications,9 August,Launch failure,,,0
10 August 20:18-1990,Molniya-M/ML,Molniya 1-78,nan,Molniya,Communications,6 July 2007,Successful,,,1
15 August 04:00-1990,Soyuz-U2,Progress M-4,nan,LEO (Mir),Logistics,20 September 11:42,Successful,,,1
16 August 09:54-1990,Soyuz-U,Resurs-F8,nan,LEO,Reconnaissance,1 September,Successful,,,1
18 August 00:42-1990,Delta II 6925,Marco Polo 2,nan,GEO,Communications,In orbit,Successful,,,1
23 August 16:17-1990,Tsyklon-2,Kosmos 2096 (US-P),nan,LEO,Naval Reconnaissance,30 August 1992,Successful,,,1
28 August 07:49-1990,Molniya-M/2BL,Kosmos 2097 (Oko),nan,Molniya,Early warning,In orbit,Operational,,,1
28 August 09:05-1990,H-1,BS 3A,nan,GEO,Communications,In orbit,Successful,,,1
28 August 15:45-1990,Kosmos-3M,Kosmos 2098 (Taifun-1),nan,LEO,Earth Science,In orbit,Successful,,,1
30 August 22:46-1990,Ariane 4 (44LP),Skynet 4C,MoD,GEO,Communications,In orbit,Operational,,,1
30 August 22:46-1990,Ariane 4 (44LP),Eutelsat 2F1,Eutelsat,GEO,Communications,In orbit,Successful,,,1
31 August 08:00-1990,Soyuz-U,Kosmos 2099 (Zenit-8),nan,LEO,Reconnaissance,14 September,Successful,,,1
3 September 00:53-1990,Long March 4A,Feng Yun 1B,Final flight of Long March 4A,Sun-synchronous,Weather satellite,In orbit,Successful,Final flight,,1
3 September 00:53-1990,Long March 4A,Qi Qiu Weixing 1,Final flight of Long March 4A,Final flight of Long March 4A,Atmospheric research,11 March 1991,Final flight of Long March 4A,Final flight,,0
3 September 00:53-1990,Long March 4A,Qi Qiu Weixing 2,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,24 July 1991,Final flight of Long March 4A,Final flight,,0
3 September 00:53-1990,Long March 4A,,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight,,0
7 September 11:59-1990,Soyuz-U,Resurs-F9,nan,LEO,Reconnaissance,21 September,Successful,,,1
14 September 05:59-1990,Kosmos-3M,Kosmos 2100 (Parus),nan,LEO,Navigation,In orbit,Operational,,,1
20 September 20:16-1990,Molniya-M/ML,Molniya 3-54L,nan,Molniya,Communications,In orbit,Operational,,,1
27 September 10:37-1990,Soyuz-U2,Progress M-5,nan,LEO (Mir),Logistics,28 November 11:04,Successful,,,1
28 September 07:30-1990,Tsyklon-3,Meteor-2-20,nan,LEO,Earth Science,In orbit,Successful,,,1
1 October 11:00-1990,Soyuz-U2,Kosmos 2101 (Orlets-1),nan,LEO,Reconnaissance,30 November,Successful,,,1
1 October 21:56-1990,Delta II 6925,GPS II-9 (USA-64),US Air Force,MEO,Navigation,In orbit,Successful,,,1
4 October-1990,Zenit-2,Tselina-2,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,Intended: LEO,ELINT,T+5 seconds,Launch failure,,,0
4 October-1990,Zenit-2,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,which was not rebuilt.,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad,,,0
4 October-1990,Zenit-2,which was not rebuilt.,which was not rebuilt.,which was not rebuilt.,which was not rebuilt.,which was not rebuilt.,which was not rebuilt.,,,0
5 October 06:14-1990,Long March 2C,FSW-1-3,nan,LEO,Reconnaissance,13 October 03:59,Successful,,,1
6 October 11:47-1990,Space Shuttle Discovery,STS-41,NASA,LEO,Satellite deployment,10 October,Successful,,,1
6 October 11:47-1990,Space Shuttle Discovery,/Ulysses,ESA/NASA,Heliocentric,Solar probe,In orbit,Crewed orbital flight with 5 astronauts,,,0
6 October 11:47-1990,Space Shuttle Discovery,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,,,0
12 October 22:58-1990,Ariane 4 (44L),SBS 6,SBS,GEO,Communications,In orbit,Successful,,,1
12 October 22:58-1990,Ariane 4 (44L),Galaxy 6,PanAmSat,GEO,Communications,In orbit,Successful,,,1
16 October 19:00-1990,Soyuz-U,Kosmos 2102 (Yantar-4K2),nan,LEO,Reconnaissance,12 December,Successful,,,1
30 October 23:16-1990,Delta II 6925,Inmarsat 2F1,Inmarsat,GEO,Communications,In orbit,Operational,,,1
3 November 14:40-1990,Proton-K/DM-2,Gorizont 21,nan,GEO,Communications,In orbit,Successful,,,1
13 November 00:37-1990,Titan IVA (402)/IUS,USA-65 (DSP-15),US Air Force,GEO,Early warning,In orbit,Operational,,,1
14 November 06:33-1990,Tsyklon-2,Kosmos 2103 (US-P),nan,LEO,Naval Reconnaissance,3 April 1991,Successful,,,1
15 November 23:48-1990,Space Shuttle Atlantis,STS-38,NASA,LEO,Satellite deployment,20 November 21:42,Successful,,,1
