DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year,FlightNumberInfo,LaunchSite
22 January 01:35 (UTC)[11],Ariane 4 (40),UOSAT 4,University of Surrey,Sun-synchronous,Communications,In orbit,Spacecraft failure 30 hours after launch[16],1990,,
22 January 01:35 (UTC)[11],Ariane 4 (40),PACSAT,AMSAT,Sun-synchronous,Communications,In orbit,Operational,1990,,
22 January 01:35 (UTC)[11],Ariane 4 (40),Microsat 2,AMSAT,Sun-synchronous,Communications,In orbit,Operational,1990,,
22 January 01:35 (UTC)[11],Ariane 4 (40),Microsat 3,AMSAT,Sun-synchronous,Communications,In orbit,Operational,1990,,
22 January 01:35 (UTC)[11],Ariane 4 (40),Microsat 4,AMSAT,Sun-synchronous,Communications,In orbit,Operational,1990,,
22 January 01:35 (UTC)[11],Ariane 4 (40),,Maiden flight of Ariane 4 (40) UOSAT 4 ceased transmitting after 5 hours,Maiden flight of Ariane 4 (40) UOSAT 4 ceased transmitting after 5 hours,Maiden flight of Ariane 4 (40) UOSAT 4 ceased transmitting after 5 hours,Maiden flight of Ariane 4 (40) UOSAT 4 ceased transmitting after 5 hours,Maiden flight of Ariane 4 (40) UOSAT 4 ceased transmitting after 5 hours,1990,First flight,
23 January 02:52,Molniya-M/ML,Molniya 3-53L,,Molniya,Communications,23 June 2003,Successful,1990,,
24 January 11:46,Mu-3S-II,Hiten,ISAS,,Lunar probe,11 April 1993,Successful,1990,,
24 January 11:46,Mu-3S-II,Hagoromo,ISAS,Selenocentric,Lunar orbiter,In orbit,Spacecraft failure,1990,,
24 January 11:46,Mu-3S-II,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,1990,,
24 January 22:55:01 (UTC)[17][18],Delta II 6925[18],GPS II-6 (USA-50)[18],US Air Force,MEO,Navigation,In orbit,Successful,1990,,
25 January 17:15 (UTC)[18],Soyuz-U[18],Kosmos 2057 (Yantar-4K2)[18],,LEO,Reconnaissance,19 March 1990[19],Successful,1990,,
30 January 11:20 (UTC)[18],Tsyklon-3[18],Kosmos 2058 (Tselina-R)[18],,LEO,ELINT,In orbit,Operational,1990,,
4 February 12:27:03 (UTC)[18],Long March 3[18],DFH-2[18] A-4,,GEO,Communications,In orbit,Successful; retired in the early 1990s[20],1990,,
6 February 16:30,Kosmos-3M,Kosmos 2059 (Taifun-2),,LEO,Radar calibration,12 November,Successful,1990,,
7 February 01:33,H-I,MOS 1B,NASDA,LEO,Earth observation,In orbit,Operational,1990,,
7 February 01:33,H-I,DEBUT,,LEO,Technology demonstration,In orbit,Successful,1990,,
7 February 01:33,H-I,JAS-1B,,LEO,Communications,In orbit,Operational,1990,,
11 February 06:16,Soyuz-U2,Soyuz TM-9,,LEO (Mir),Mir EO-9,9 August 07:33,Successful,1990,,
11 February 06:16,Soyuz-U2,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,1990,,
14 February 16:15:01 (UTC)[21][18],Delta II 6920-8[18],LACE (USA-51)[18],DoD,LEO,Technology demonstration,24 May 2000[22],Successful,1990,,
14 February 16:15:01 (UTC)[21][18],Delta II 6920-8[18],RME (USA-52)[18],DoD,LEO,Technology demonstration,24 May 1992[23],Successful,1990,,
14 February 16:15:01 (UTC)[21][18],Delta II 6920-8[18],,Maiden flight of Delta II 6920,Maiden flight of Delta II 6920,Maiden flight of Delta II 6920,Maiden flight of Delta II 6920,Maiden flight of Delta II 6920,1990,First flight,
15 February 07:52,Proton-K/DM-2,Raduga 25,,GEO,Communications,In orbit,Operational,1990,,
22 February 23:17,Ariane 4 (44L),Superbird B,SCC,Intended: GEO transfer,Communications,T+ seconds,Launch failure,1990,,
22 February 23:17,Ariane 4 (44L),BS 2X,,Intended: GEO transfer,Communications,T+ seconds,Launch failure,1990,,
22 February 23:17,Ariane 4 (44L),Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,1990,,
27 February 20:59,Kosmos-3M,Nadezhda 2,,LEO,Navigation,In orbit,Operational,1990,,
28 February 00:55,Tsyklon-3,Okean 2,,LEO,Earth science,In orbit,Operational,1990,,
28 February 07:50,Space Shuttle Atlantis,STS-36,NASA,LEO,Satellite deployment,4 March 03:08,Successful,1990,,
28 February 07:50,Space Shuttle Atlantis,USA-53 (Misty-1),NRO,LEO,Reconnaissance,In orbit,Operational,1990,,
28 February 07:50,Space Shuttle Atlantis,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,1990,,
28 February 23:10,Soyuz-U2,Progress M-3,,LEO (Mir),Logistics,28 April 00:52,Successful,1990,,
14 March 11:52,Commercial Titan III,Intelsat 603,Intelsat,GEO,Communications,In orbit,Partial launch failure,1990,,
14 March 11:52,Commercial Titan III,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a LEO orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,1990,,
14 March 15:27,Tsyklon-2,Kosmos 2060 (US-P),,LEO,Naval Reconnaissance,1 September 1991,Successful,1990,,
20 March 00:25,Kosmos-3M,Kosmos 2061 (Parus),,LEO,Navigation,In orbit,Successful,1990,,
22 March 07:20,Soyuz-U,Kosmos 2062 (Zenit-8),,LEO,Reconnaissance,28 April,Successful,1990,,
26 March 02:45,Delta II 6925,GPS II-7 (USA-54),US Air Force,MEO,Navigation,In orbit,Spacecraft failure,1990,,
26 March 02:45,Delta II 6925,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,1990,,
27 March 16:40,Molniya-M/2BL,Kosmos 2063 (Oko),,Molniya,Early warning,In orbit,Operational,1990,,
3 April 12:02,Shavit,Ofeq-2,,LEO (retrograde),Reconnaissance,In orbit,Operational,1990,,
3 April,Soyuz-U,Yantar-4K2,,Intended: LEO,Reconnaissance,3 April,Launch failure,1990,,
5 April 19:10,Pegasus,Pegsat,NASA,LEO,Space Physics,14 November 1998,Successful,1990,,
5 April 19:10,Pegasus,USA-55 (SECS),DoD,LEO,Communications,In orbit,Operational,1990,,
5 April 19:10,Pegasus,,Maiden flight of Pegasus,Maiden flight of Pegasus,Maiden flight of Pegasus,Maiden flight of Pegasus,Maiden flight of Pegasus,1990,First flight,
6 April 03:13,Kosmos-3M,Kosmos 2064 (Strela-1M),,LEO,Communications,In orbit,Operational,1990,,
6 April 03:13,Kosmos-3M,Kosmos 2065 (Strela-1M),,LEO,Communications,In orbit,Operational,1990,,
6 April 03:13,Kosmos-3M,Kosmos 2066 (Strela-1M),,LEO,Communications,In orbit,Operational,1990,,
6 April 03:13,Kosmos-3M,Kosmos 2067 (Strela-1M),,LEO,Communications,In orbit,Operational,1990,,
6 April 03:13,Kosmos-3M,Kosmos 2068 (Strela-1M),,LEO,Communications,In orbit,Operational,1990,,
6 April 03:13,Kosmos-3M,Kosmos 2069 (Strela-1M),,LEO,Communications,In orbit,Operational,1990,,
6 April 03:13,Kosmos-3M,Kosmos 2070 (Strela-1M),,LEO,Communications,In orbit,Operational,1990,,
6 April 03:13,Kosmos-3M,Kosmos 2071 (Strela-1M),,LEO,Communications,In orbit,Operational,1990,,
7 April 13:30,Long March 3,AsiaSat 1,AsiaSat,GEO,Communications,In orbit,Operational,1990,,
7 April 13:30,Long March 3,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,1990,,
11 April 15:00,Atlas-E/Altair-3A,USA-56 (POGS),DoD,LEO,Technology demonstration,In orbit,Successful,1990,,
11 April 15:00,Atlas-E/Altair-3A,USA-57 (TEX),DoD,LEO,Technology demonstration,In orbit,Successful,1990,,
11 April 15:00,Atlas-E/Altair-3A,USA-58 (SCE),DoD,LEO,Technology demonstration,In orbit,Successful,1990,,
11 April 17:00,Soyuz-U,/Foton 6,CNES,LEO,Microgravity research,27 April 06:15,Successful,1990,,
13 April 18:53,Soyuz-U,Kosmos 2072 (Yantar-4KS1),,LEO,Reconnaissance,22 November,Successful,1990,,
13 April 22:28,Delta II 6925-8,Palapa B2R,Telkom Indonesia,GEO,Communications,In orbit,Operational,1990,,
13 April 22:28,Delta II 6925-8,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,1990,,
17 April 08:00,Soyuz-U,Kosmos 2073 (Zenit-8),,LEO,Reconnaissance,28 April,Successful,1990,,
20 April 18:41,Kosmos-3M,Kosmos 2074 (Parus),,LEO,Navigation,In orbit,Operational,1990,,
24 April 12:33,Space Shuttle Discovery,STS-31,NASA,LEO,HST deployment,29 April 13:49,Successful,1990,,
24 April 12:33,Space Shuttle Discovery,/Hubble Space Telescope,NASA/ESA,LEO,Space Telescope,In orbit,Operational,1990,,
24 April 12:33,Space Shuttle Discovery,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,1990,,
25 April 13:00,Kosmos-3M,Kosmos 2075 (Taifun-2),,LEO,Target,20 February 1992,Successful,1990,,
26 April 01:37,Molniya-M/ML,Molniya 1-77,,Molniya,Communications,25 February 2005,Successful,1990,,
28 April 11:37,Molniya-M/2BL,Kosmos 2076 (Oko),,Molniya,Early warning,In orbit,Operational,1990,,
5 May 20:44,Soyuz-U2,Progress 42,,LEO (Mir),Logistics,27 May 12:27,Successful,1990,,
5 May 20:44,Soyuz-U2,,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,1990,Final flight,
7 May 18:39,Soyuz-U,Kosmos 2077 (Yantar-4K2),,LEO,Reconnaissance,4 July,Successful,1990,,
9 May 17:50,Scout G-1,MacSat 1,DARPA,LEO,Communications,In orbit,Successful,1990,,
9 May 17:50,Scout G-1,MacSat 2,DARPA,LEO,Communications,In orbit,Successful,1990,,
15 May 09:55,Soyuz-U,Kosmos 2078 (Yantar-1KFT),,LEO,Reconnaissance,28 June,Successful,1990,,
19 May 08:32,Proton-K/DM-2,Kosmos 2079 (GLONASS),,MEO,Navigation,In orbit,Operational,1990,,
19 May 08:32,Proton-K/DM-2,Kosmos 2080 (GLONASS),,MEO,Navigation,In orbit,Operational,1990,,
19 May 08:32,Proton-K/DM-2,Kosmos 2081 (GLONASS),,MEO,Navigation,In orbit,Operational,1990,,
22 May 05:14,Zenit-2,Kosmos 2082 (Tselina-2),,LEO,ELINT,In orbit,Operational,1990,,
22 May 05:14,Zenit-2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,1990,,
29 May 07:19,Soyuz-U,Resurs-F6,,LEO,Reconnaissance,14 June,Successful,1990,,
31 May 10:33,Proton-K,Kristall,,LEO (Mir),Mir module,23 March 2001 05:50,Successful,1990,,
1 June 21:48,Delta II 6920-10,ROSAT,,LEO,Astronomy,23 October 2011,Successful,1990,,
8 June 05:21,Titan IVA (405),USA-59 (SLDCOM),US Air Force,LEO,Communications,In orbit,Operational,1990,,
8 June 05:21,Titan IVA (405),USA-60 (NOSS-2),US Navy,LEO,Naval Reconnaissance,In orbit,Operational,1990,,
8 June 05:21,Titan IVA (405),USA-61 (NOSS-2),US Navy,LEO,Naval Reconnaissance,In orbit,Operational,1990,,
8 June 05:21,Titan IVA (405),USA-62 (NOSS-2),US Navy,LEO,Naval Reconnaissance,In orbit,Operational,1990,,
12 June 05:52,Delta 4925,INSAT 1D,ISRO,GEO,Communications,In orbit,Successful,1990,,
12 June 05:52,Delta 4925,,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,1990,Final flight,
13 June 01:07,Molniya-M/ML,Molniya 3-47L,,Molniya,Communications,26 February 2006,Successful,1990,,
19 June 08:45,Soyuz-U,Kosmos 2083 (Zenit-8),,LEO,Reconnaissance,3 July 1990,Successful,1990,,
20 June 23:36,Proton-K/DM,Gorizont 20,,GEO,Communications,In orbit,Successful,1990,,
21 June 20:45,Molniya-M/2BL,Kosmos 2084 (Oko),,Intended: Molniya Achieved: LEO,Early warning,In orbit,Partial Failure,1990,,
21 June 20:45,Molniya-M/2BL,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,1990,,
23 June 11:19,Commercial Titan III,Intelsat 604,Intelsat,GEO,Communications,In orbit,Successful,1990,,
27 June 22:30,Tsyklon-3,Meteor-2-19,,LEO,Earth Sciences,In orbit,Successful,1990,,
3 July,Soyuz-U,Yantar-4K2,,Intended: LEO,Reconnaissance,3 July,Launch failure,1990,,
11 July 10:00,Soyuz-U2,/Gamma,CNES,LEO,Astronomy,28 February 1992,Successful,1990,,
16 July 00:40,Long March 2E,Badr-1,SUPARCO,LEO,Communications,8 December,Successful,1990,,
16 July 00:40,Long March 2E,HS-601,,LEO,Boilerplate spacecraft,In orbit,Successful,1990,,
16 July 00:40,Long March 2E,,Maiden flight of Long March 2E,Maiden flight of Long March 2E,Maiden flight of Long March 2E,Maiden flight of Long March 2E,Maiden flight of Long March 2E,1990,First flight,
17 July 09:29,Soyuz-U,Resurs-F7,,LEO,Reconnaissance,16 August,Successful,1990,,
18 July 21:46,Proton-K/DM-2,Kosmos 2085 (Geizer 17L),,GEO,Communications,In orbit,Operational,1990,,
20 July 08:40,Soyuz-U,Kosmos 2086 (Zenit-8),,LEO,Reconnaissance,3 August,Successful,1990,,
24 July 22:25,Ariane 4 (44L),TDF-2,Telediffusion,GEO,Communications,In orbit,Successful,1990,,
24 July 22:25,Ariane 4 (44L),DFS-2,,GEO,Communications,In orbit,Successful,1990,,
25 July 18:13,Molniya-M/2BL,Kosmos 2087 (Oko),,Molniya,Early warning,In orbit,Operational,1990,,
25 July 19:21,Atlas I,CRRES,US Air Force,GEO transfer,Space Physics,In orbit,Successful,1990,,
25 July 19:21,Atlas I,,Maiden flight of Atlas I Contact with spacecraft lost on 12 October 1991 due to onboard battery failure.,Maiden flight of Atlas I Contact with spacecraft lost on 12 October 1991 due to onboard battery failure.,Maiden flight of Atlas I Contact with spacecraft lost on 12 October 1991 due to onboard battery failure.,Maiden flight of Atlas I Contact with spacecraft lost on 12 October 1991 due to onboard battery failure.,Maiden flight of Atlas I Contact with spacecraft lost on 12 October 1991 due to onboard battery failure.,1990,First flight,
30 July 00:06,Tsyklon-3,Kosmos 2088 (Geo-IK),,LEO,Earth Science,In orbit,Successful,1990,,
1 August 09:32,Soyuz-U2,Soyuz TM-10,,LEO (Mir),Mir EO-7,10 December 06:08,Successful,1990,,
1 August 09:32,Soyuz-U2,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,1990,,
2 August 05:39,Delta II 6925,GPS II-8 (USA-63),US Air Force,MEO,Navigation,In orbit,Operational,1990,,
3 August 19:45,Soyuz-U,Kosmos 2089 (Yantar-4K2),,LEO,Reconnaissance,1 October,Successful,1990,,
8 August 04:15,Tsyklon-3,Kosmos 2090 (Strela-3),,LEO,Communications,In orbit,Operational,1990,,
8 August 04:15,Tsyklon-3,Kosmos 2091 (Strela-3),,LEO,Communications,In orbit,Operational,1990,,
8 August 04:15,Tsyklon-3,Kosmos 2092 (Strela-3),,LEO,Communications,In orbit,Operational,1990,,
8 August 04:15,Tsyklon-3,Kosmos 2093 (Strela-3),,LEO,Communications,In orbit,Operational,1990,,
8 August 04:15,Tsyklon-3,Kosmos 2094 (Strela-3),,LEO,Communications,In orbit,Operational,1990,,
8 August 04:15,Tsyklon-3,Kosmos 2095 (Strela-3),,LEO,Communications,In orbit,Operational,1990,,
9 August 20:18,Proton-K/DM-2,Ekran-M,,Intended: GEO,Communications,9 August,Launch failure,1990,,
10 August 20:18,Molniya-M/ML,Molniya 1-78,,Molniya,Communications,6 July 2007,Successful,1990,,
15 August 04:00,Soyuz-U2,Progress M-4,,LEO (Mir),Logistics,20 September 11:42,Successful,1990,,
16 August 09:54,Soyuz-U,Resurs-F8,,LEO,Reconnaissance,1 September,Successful,1990,,
18 August 00:42,Delta II 6925,Marco Polo 2,,GEO,Communications,In orbit,Successful,1990,,
23 August 16:17,Tsyklon-2,Kosmos 2096 (US-P),,LEO,Naval Reconnaissance,30 August 1992,Successful,1990,,
28 August 07:49,Molniya-M/2BL,Kosmos 2097 (Oko),,Molniya,Early warning,In orbit,Operational,1990,,
28 August 09:05,H-1,BS 3A,,GEO,Communications,In orbit,Successful,1990,,
28 August 15:45,Kosmos-3M,Kosmos 2098 (Taifun-1),,LEO,Earth Science,In orbit,Successful,1990,,
30 August 22:46,Ariane 4 (44LP),Skynet 4C,MoD,GEO,Communications,In orbit,Operational,1990,,
30 August 22:46,Ariane 4 (44LP),Eutelsat 2F1,Eutelsat,GEO,Communications,In orbit,Successful,1990,,
31 August 08:00,Soyuz-U,Kosmos 2099 (Zenit-8),,LEO,Reconnaissance,14 September,Successful,1990,,
3 September 00:53,Long March 4A,Feng Yun 1B,,Sun-synchronous,Weather satellite,In orbit,Successful,1990,,
3 September 00:53,Long March 4A,Qi Qiu Weixing 1,,Sun-synchronous,Atmospheric research,11 March 1991,Successful,1990,,
3 September 00:53,Long March 4A,Qi Qiu Weixing 2,,Sun-synchronous,Atmospheric research,24 July 1991,Successful,1990,,
3 September 00:53,Long March 4A,,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,Final flight of Long March 4A,1990,Final flight,
7 September 11:59,Soyuz-U,Resurs-F9,,LEO,Reconnaissance,21 September,Successful,1990,,
14 September 05:59,Kosmos-3M,Kosmos 2100 (Parus),,LEO,Navigation,In orbit,Operational,1990,,
20 September 20:16,Molniya-M/ML,Molniya 3-54L,,Molniya,Communications,In orbit,Operational,1990,,
27 September 10:37,Soyuz-U2,Progress M-5,,LEO (Mir),Logistics,28 November 11:04,Successful,1990,,
28 September 07:30,Tsyklon-3,Meteor-2-20,,LEO,Earth Science,In orbit,Successful,1990,,
1 October 11:00,Soyuz-U2,Kosmos 2101 (Orlets-1),,LEO,Reconnaissance,30 November,Successful,1990,,
1 October 21:56,Delta II 6925,GPS II-9 (USA-64),US Air Force,MEO,Navigation,In orbit,Successful,1990,,
4 October,Zenit-2,Tselina-2,,Intended: LEO,ELINT,T+5 seconds,Launch failure,1990,,
4 October,Zenit-2,"First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.","First stage engine failure five seconds after launch. Subsequent explosion completely destroyed the launch pad, which was not rebuilt.",1990,,
5 October 06:14,Long March 2C,FSW-1-3,,LEO,Reconnaissance,13 October 03:59,Successful,1990,,
6 October 11:47,Space Shuttle Discovery,STS-41,NASA,LEO,Satellite deployment,10 October,Successful,1990,,
6 October 11:47,Space Shuttle Discovery,/Ulysses,ESA/NASA,Heliocentric,Solar probe,In orbit,Successful,1990,,
6 October 11:47,Space Shuttle Discovery,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,1990,,
12 October 22:58,Ariane 4 (44L),SBS 6,SBS,GEO,Communications,In orbit,Successful,1990,,
12 October 22:58,Ariane 4 (44L),Galaxy 6,PanAmSat,GEO,Communications,In orbit,Successful,1990,,
16 October 19:00,Soyuz-U,Kosmos 2102 (Yantar-4K2),,LEO,Reconnaissance,12 December,Successful,1990,,
30 October 23:16,Delta II 6925,Inmarsat 2F1,Inmarsat,GEO,Communications,In orbit,Operational,1990,,
3 November 14:40,Proton-K/DM-2,Gorizont 21,,GEO,Communications,In orbit,Successful,1990,,
13 November 00:37,Titan IVA (402)/IUS,USA-65 (DSP-15),US Air Force,GEO,Early warning,In orbit,Operational,1990,,
14 November 06:33,Tsyklon-2,Kosmos 2103 (US-P),,LEO,Naval Reconnaissance,3 April 1991,Successful,1990,,
15 November 23:48,Space Shuttle Atlantis,STS-38,NASA,LEO,Satellite deployment,20 November 21:42,Successful,1990,,
15 November 23:48,Space Shuttle Atlantis,USA-67 (SDS-2),NRO,GEO,Communications,In orbit,Operational,1990,,
